familia;nro_especies;crown age;stem age;Myc_Type;Shannon
Acanthaceae;3947;36.720997;42.016172;AM;0.590842246
Achariaceae;101;85.913263;87.55776;NA;NA
Achatocarpaceae;11;11.997146;52.110063;NA;NA
Acoraceae;2;156.563854;171.266982;AM;0
Actinidiaceae;362;68.396171;70.184411;MIX;0.693147181
Adoxaceae;194;75.385129;91.355933;AM;0.233791659
Aextoxicaceae;1;NA;97.433843;AM;0
Aizoaceae;2271;42.783637;44.386534;AM;0.636514168
Akaniaceae;2;7.181411;55.276754;NA;NA
Alismataceae;120;56.620586;63.488798;AM;0.348832096
Alseuosmiaceae;6;26.11369;76.151854;NA;NA
Alstroemeriaceae;254;67.532339;99.207819;AM;0
Altingiaceae;18;17.447292;96.105048;AM;0
Amaranthaceae;2052;38.449259;52.110063;MIX;0.676951735
Amaryllidaceae;2258;67.472543;71.218273;AM;0.144300035
Amborellaceae;1;NA;234.540723;NA;NA
Anacampserotaceae;58;21.237335;27.526226;NA;NA
Anacardiaceae;701;59.095478;59.827346;AM;0.15841057
Anarthriaceae;11;47.731764;54.971537;AM;0
Ancistrocladaceae;21;37.658092;49.245253;NA;NA
Anisophylleaceae;39;29.031929;38.106467;MIX;0.693147181
Annonaceae;2106;45.497682;95.495022;AM;0.257318641
Aphanopetalaceae;2;23.699648;64.220395;NA;NA
Aphloiaceae;2;NA;94.450125;AM;0
Apiaceae;3257;71.448109;73.389673;AM;0.304636097
Apocynaceae;5556;37.608252;46.755187;AM;0.300882104
Aponogetonaceae;58;48.715228;93.445196;NA;NA
Aquifoliaceae;480;65.833042;69.070213;AM;0
Araceae;3368;123.181678;140.998142;AM;0.543272781
Araliaceae;1533;65.500479;76.578803;AM;0.286835983
Araucariaceae;39;167.203391;197.536807;AM;0
Arecaceae;2522;114.999068;115.611843;AM;0.163023629
Argophyllaceae;22;56.257099;69.453762;NA;NA
Aristolochiaceae;624;121.048267;122.157862;AM;0
Asparagaceae;2929;70.69267;71.218273;AM;0.211687545
Asteliaceae;37;39.722705;54.934989;AM;0
Asteraceae;32913;45.743702;49.089766;AM;0.16555051
Asteropeiaceae;8;NA;33.824843;EM;0
Atherospermataceae;20;82.161245;89.030833;AM;0
Austrobaileyaceae;1;NA;179.240932;AM;0
Balanopaceae;9;32.769206;75.798067;NA;NA
Balanophoraceae;45;22.713867;37.510831;NA;NA
Balsaminaceae;488;41.839657;45.042083;AM;0
Barbeuiaceae;1;NA;47.400484;NA;NA
Barbeyaceae;1;NA;77.092391;NA;NA
Basellaceae;19;16.562689;36.409964;NA;NA
Bataceae;2;NA;57.232018;NM;0
Begoniaceae;1601;36.996461;38.106467;AM;0.286835983
Berberidaceae;755;117.268408;124.400456;AM;0.314492201
Berberidopsidaceae;2;5.975438;97.433843;NA;NA
Betulaceae;234;27.279624;32.795215;EM;0.132691421
Biebersteiniaceae;5;23.824958;73.657286;AM;0
Bignoniaceae;852;24.82755;29.203711;AM;0
Bixaceae;25;61.228848;67.188807;AM;0
Blandfordiaceae;4;58.96257;68.808243;NA;NA
Bonnetiaceae;36;61.711936;93.500477;NA;NA
Boraginaceae;2386;55.79521;74.999004;AM;0.431165486
Boryaceae;12;78.885322;106.090362;NA;NA
Brassicaceae;4060;60.746364;69.248859;NM;0.583696233
Bromeliaceae;3320;55.391807;85.592749;MIX;0.693147181
Brunelliaceae;60;44.933586;70.027114;NA;NA
Bruniaceae;92;76.244108;93.547307;AM;0
Burmanniaceae;163;89.100292;110.048574;NA;NA
Burseraceae;649;48.457084;59.827346;AM;0
Butomaceae;2;NA;74.071953;AM;0
Buxaceae;122;101.507768;124.728133;AM;0
Byblidaceae;7;20.025025;43.457574;NA;NA
Cabombaceae;6;60.323528;112.572432;NA;NA
Cactaceae;2233;21.063861;27.526226;AM;0.577354049
Calceolariaceae;281;26.634664;38.708136;AM;0
Calophyllaceae;127;82.969343;86.27198;AM;0
Calycanthaceae;10;37.676518;108.800422;NA;NA
Calyceraceae;56;26.955262;49.089766;NM;0
Campanulaceae;2385;52.96725;83.663676;AM;0.108471339
Campynemataceae;4;30.226983;117.345735;NA;NA
Canellaceae;21;29.809158;112.055662;AM;0
Cannabaceae;102;47.742504;65.482177;AM;0.376770161
Cannaceae;12;41.379256;67.555137;NM;0
Capparaceae;449;71.224218;77.110126;AM;0.562335145
Caprifoliaceae;857;65.603129;91.355933;AM;0.271189373
Cardiopteridaceae;46;NA;87.099283;NA;NA
Caricaceae;47;52.621464;62.738324;AM;0
Carlemanniaceae;5;45.814697;50.094505;AM;0
Caryocaraceae;26;20.731491;88.073512;AM;0
Caryophyllaceae;2456;50.604914;56.971443;NM;0.602021866
Casuarinaceae;91;32.142939;40.509869;EM;0.585952618
Celastraceae;1168;67.743585;88.114389;AM;0.362210557
Centrolepidaceae;36;43.725887;53.691922;NA;NA
Cephalotaceae;1;NA;70.027114;NA;NA
Ceratophyllaceae;4;172.518665;190.540568;NM;0
Cercidiphyllaceae;2;NA;103.553448;NA;NA
Chloranthaceae;71;132.900518;194.035832;NA;NA
Chrysobalanaceae;535;46.107173;52.325787;AM;0
Circaeasteraceae;2;37.183845;126.223926;NA;NA
Cistaceae;201;36.874084;49.167296;EM;0.376770161
Cleomaceae;257;65.299794;69.248859;AM;0
Clethraceae;85;56.696011;70.399418;AM;0
Clusiaceae;1047;68.746751;71.185027;AM;0.511740073
Colchicaceae;284;84.171864;99.207819;AM;0
Columelliaceae;8;55.029703;93.547307;AM;0
Combretaceae;480;65.472244;87.221799;AM;0
Commelinaceae;728;73.878869;76.02555;NM;0.610864302
Connaraceae;267;26.814623;61.578127;NA;NA
Convolvulaceae;1269;54.147004;56.240507;AM;0.233791659
Coriariaceae;16;10.65489;34.313702;AM;0
