genus,species,mycorrhiza.type,number.of.plants.studied,family,myc.type.mujica,new.class,
Actiniopteris,Actiniopteris_radiata,AM; others not addressed,NA,Actiniopteridaceae,AM,FERN,
Actiniopteris,Actiniopteris_radiata,AM; others not addressed,NA,Actiniopteridaceae,AM,FERN,
Actiniopteris,Actiniopteris_radiata,AM; others not addressed,NA,Actiniopteridaceae,AM,FERN,
Actiniopteris,Actiniopteris_radiata,AM; no others,NA,Actiniopteridaceae,AM,FERN,
Adiantum,Adiantum_andicola,AM; others not addressed,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_andicola,AM; others not addressed,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_andicola,AM; no others,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_bonatianum,AM; others not addressed,1,Adiantaceae,AM,FERN,
Adiantum,Adiantum_capillus-veneris,AM; no others,3,Adiantaceae,AM,FERN,
Adiantum,Adiantum_capillus-veneris,AM; no others,3,Adiantaceae,AM,FERN,
Adiantum,Adiantum_capillus-veneris,AM; others not addressed,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_capillus-veneris,AM; others not addressed,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_capillus-veneris,AM; others not addressed,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_caudatum,AM; others not addressed,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_caudatum,AM; no others,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_chilense_var._sulphureum,AM; no others,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_chilense_var._sulphureum,AM; no others,NA,Adiantaceae,AM,FERN,
Adiantum,Adiantum_cunninghamii,AM; no others,1,Adiantaceae,AM,FERN,
Adiantum,Adiantum_diaphanum,AM; no others,2,Adiantaceae,AM,FERN,
Adiantum,Adiantum_edgeworthii,AM; others not addressed,NA,Adiantaceae,AM,FERN,
