family,samp.sp,samp.ge,AM,EM,ER,MIX,NM,OM,type.50,type.60,type.80,type.100,global.rich,perc.rich,crown.age,stem.age
Acanthaceae,65,34,50,0,0,0,15,0,AM,AM,MIX,MIX,3947,0.016468203699012,36.720997,42.016172
Achariaceae,7,5,7,0,0,0,0,0,AM,AM,AM,AM,101,0.069306930693069,85.913263,87.55776
Achatocarpaceae,1,1,0,1,0,0,0,0,EM,EM,EM,EM,11,0.090909090909091,11.997146,52.110063
Acoraceae,3,1,1,0,0,0,2,0,NM,NM,MIX,MIX,2,1.5,156.563854,171.266982
Actinidiaceae,4,1,4,0,0,0,0,0,AM,AM,AM,AM,362,0.011049723756906,68.396171,70.184411
Adoxaceae,23,3,23,0,0,0,0,0,AM,AM,AM,AM,194,0.118556701030928,75.385129,91.355933
Aizoaceae,22,15,6,0,0,0,16,0,NM,NM,MIX,MIX,2271,0.009687362395421,42.783637,44.386534
Akaniaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,2,0.5,7.181411,55.276754
Alismataceae,16,6,9,0,0,0,7,0,AM,MIX,MIX,MIX,120,0.133333333333333,56.620586,63.488798
Alstroemeriaceae,2,2,2,0,0,0,0,0,AM,AM,AM,AM,254,0.007874015748032,67.532339,99.207819
Altingiaceae,4,2,4,0,0,0,0,0,AM,AM,AM,AM,18,0.222222222222222,17.447292,96.105048
Amaranthaceae,176,52,84,0,0,0,92,0,NM,MIX,MIX,MIX,2052,0.085769980506823,38.449259,52.110063
Amaryllidaceae,69,17,69,0,0,0,0,0,AM,AM,AM,AM,2258,0.030558015943313,67.472543,71.218273
Anacardiaceae,62,25,62,0,0,0,0,0,AM,AM,AM,AM,701,0.088445078459344,59.095478,59.827346
Anarthriaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,11,0.090909090909091,47.731764,54.971537
Anisophylleaceae,2,2,2,0,0,0,0,0,AM,AM,AM,AM,39,0.051282051282051,29.031929,38.106467
Annonaceae,51,22,51,0,0,0,0,0,AM,AM,AM,AM,2106,0.024216524216524,45.497682,95.495022
Aphloiaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,2,0.5,NA,94.450125
Apiaceae,148,68,145,0,0,0,3,0,AM,AM,AM,MIX,3257,0.04544058949954,71.448109,73.389673
Apocynaceae,122,65,114,0,0,0,8,0,AM,AM,AM,MIX,5556,0.021958243340533,37.608252,46.755187
Aponogetonaceae,2,1,1,0,0,0,1,0,MIX,MIX,MIX,MIX,58,0.03448275862069,48.715228,93.445196
Aquifoliaceae,20,1,20,0,0,0,0,0,AM,AM,AM,AM,480,0.041666666666667,65.833042,69.070213
Araceae,56,33,34,0,0,0,22,0,AM,AM,MIX,MIX,3368,0.016627078384798,123.181678,140.998142
Araliaceae,51,17,51,0,0,0,0,0,AM,AM,AM,AM,1533,0.033268101761252,65.500479,76.578803
Araucariaceae,15,2,15,0,0,0,0,0,AM,AM,AM,AM,39,0.384615384615385,167.203391,197.536807
Arecaceae,42,32,42,0,0,0,0,0,AM,AM,AM,AM,2522,0.01665344964314,114.999068,115.611843
Aristolochiaceae,13,2,10,0,0,0,3,0,AM,AM,MIX,MIX,624,0.020833333333333,121.048267,122.157862
Asparagaceae,114,41,104,0,0,0,10,0,AM,AM,AM,MIX,2929,0.03892113349266,70.69267,71.218273
Asteliaceae,2,1,2,0,0,0,0,0,AM,AM,AM,AM,37,0.054054054054054,39.722705,54.934989
Asteraceae,1041,369,991,28,0,12,10,0,AM,AM,AM,MIX,32913,0.031628839668216,45.743702,49.089766
Asteropeiaceae,2,1,0,0,0,2,0,0,MIX,MIX,MIX,MIX,8,0.25,NA,33.824843
Atherospermataceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,20,0.05,82.161245,89.030833
Austrobaileyaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,1,1,NA,179.240932
Balsaminaceae,16,1,16,0,0,0,0,0,AM,AM,AM,AM,488,0.032786885245902,41.839657,45.042083
Basellaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,19,0.052631578947368,16.562689,36.409964
Bataceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,2,0.5,NA,57.232018
Begoniaceae,12,2,12,0,0,0,0,0,AM,AM,AM,AM,1601,0.007495315427858,36.996461,38.106467
Berberidaceae,29,10,29,0,0,0,0,0,AM,AM,AM,AM,755,0.03841059602649,117.268408,124.400456
Betulaceae,72,6,0,72,0,0,0,0,EM,EM,EM,EM,234,0.307692307692308,27.279624,32.795215
Biebersteiniaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,5,0.2,23.824958,73.657286
Bignoniaceae,46,25,45,0,0,0,1,0,AM,AM,AM,MIX,852,0.053990610328639,24.82755,29.203711
Bixaceae,4,2,4,0,0,0,0,0,AM,AM,AM,AM,25,0.16,61.228848,67.188807
Bonnetiaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,36,0.027777777777778,61.711936,93.500477
Boraginaceae,117,41,98,0,0,0,19,0,AM,AM,AM,MIX,2386,0.049036043587594,55.79521,74.999004
Brassicaceae,574,167,4,0,0,0,570,0,NM,NM,NM,MIX,4060,0.141379310344828,60.746364,69.248859
Bromeliaceae,25,12,9,0,0,0,16,0,NM,NM,MIX,MIX,3320,0.007530120481928,55.391807,85.592749
Bruniaceae,2,1,2,0,0,0,0,0,AM,AM,AM,AM,92,0.021739130434783,76.244108,93.547307
Burmanniaceae,62,10,62,0,0,0,0,0,AM,AM,AM,AM,163,0.380368098159509,89.100292,110.048574
Burseraceae,39,9,38,0,0,0,1,0,AM,AM,AM,MIX,649,0.060092449922958,48.457084,59.827346
Butomaceae,1,1,0,0,0,0,1,0,NM,NM,NM,NM,2,0.5,NA,74.071953
Buxaceae,4,2,4,0,0,0,0,0,AM,AM,AM,AM,122,0.032786885245902,101.507768,124.728133
Cactaceae,51,24,49,0,0,0,2,0,AM,AM,AM,MIX,2233,0.022839229735782,21.063861,27.526226
Calceolariaceae,5,2,5,0,0,0,0,0,AM,AM,AM,AM,281,0.01779359430605,26.634664,38.708136
Calophyllaceae,24,6,24,0,0,0,0,0,AM,AM,AM,AM,127,0.188976377952756,82.969343,86.27198
Calycanthaceae,3,2,3,0,0,0,0,0,AM,AM,AM,AM,10,0.3,37.676518,108.800422
Calyceraceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,56,0.017857142857143,26.955262,49.089766
Campanulaceae,68,18,67,0,0,0,1,0,AM,AM,AM,MIX,2385,0.028511530398323,52.96725,83.663676
Canellaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,21,0.047619047619048,29.809158,112.055662
Cannabaceae,20,7,18,0,0,0,2,0,AM,AM,AM,MIX,102,0.196078431372549,47.742504,65.482177
Cannaceae,3,1,3,0,0,0,0,0,AM,AM,AM,AM,12,0.25,41.379256,67.555137
Capparaceae,14,6,12,0,0,0,2,0,AM,AM,AM,MIX,449,0.031180400890869,71.224218,77.110126
Caprifoliaceae,74,20,74,0,0,0,0,0,AM,AM,AM,AM,857,0.08634772462077,65.603129,91.355933
Cardiopteridaceae,2,2,2,0,0,0,0,0,AM,AM,AM,AM,46,0.043478260869565,NA,87.099283
Caricaceae,2,2,2,0,0,0,0,0,AM,AM,AM,AM,47,0.042553191489362,52.621464,62.738324
Carlemanniaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,5,0.2,45.814697,50.094505
Caryocaraceae,5,1,5,0,0,0,0,0,AM,AM,AM,AM,26,0.192307692307692,20.731491,88.073512
Caryophyllaceae,159,31,45,0,0,0,114,0,NM,NM,MIX,MIX,2456,0.064739413680782,50.604914,56.971443
Casuarinaceae,15,2,2,5,0,8,0,0,MIX,MIX,MIX,MIX,91,0.164835164835165,32.142939,40.509869
Celastraceae,37,16,36,0,0,0,1,0,AM,AM,AM,MIX,1168,0.031678082191781,67.743585,88.114389
Centrolepidaceae,1,1,0,0,0,0,1,0,NM,NM,NM,NM,36,0.027777777777778,43.725887,53.691922
Ceratophyllaceae,1,1,0,0,0,0,1,0,NM,NM,NM,NM,4,0.25,172.518665,190.540568
Cercidiphyllaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,2,0.5,NA,103.553448
Chloranthaceae,5,3,5,0,0,0,0,0,AM,AM,AM,AM,71,0.070422535211268,132.900518,194.035832
Chrysobalanaceae,19,9,19,0,0,0,0,0,AM,AM,AM,AM,535,0.035514018691589,46.107173,52.325787
Cistaceae,22,7,0,22,0,0,0,0,EM,EM,EM,EM,201,0.109452736318408,36.874084,49.167296
Cleomaceae,11,3,7,0,0,0,4,0,AM,AM,MIX,MIX,257,0.042801556420234,65.299794,69.248859
Clethraceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,85,0.011764705882353,56.696011,70.399418
Clusiaceae,46,8,46,0,0,0,0,0,AM,AM,AM,AM,1047,0.043935052531041,68.746751,71.185027
Colchicaceae,10,8,10,0,0,0,0,0,AM,AM,AM,AM,284,0.035211267605634,84.171864,99.207819
Columelliaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,8,0.125,55.029703,93.547307
Combretaceae,40,6,39,0,0,0,1,0,AM,AM,AM,MIX,480,0.083333333333333,65.472244,87.221799
Commelinaceae,26,7,13,0,0,0,13,0,MIX,MIX,MIX,MIX,728,0.035714285714286,73.878869,76.02555
Connaraceae,3,2,3,0,0,0,0,0,AM,AM,AM,AM,267,0.01123595505618,26.814623,61.578127
Convolvulaceae,54,14,52,0,0,0,2,0,AM,AM,AM,MIX,1269,0.042553191489362,54.147004,56.240507
Coriariaceae,3,1,3,0,0,0,0,0,AM,AM,AM,AM,16,0.1875,10.65489,34.313702
Cornaceae,23,11,22,0,0,0,1,0,AM,AM,AM,MIX,124,0.185483870967742,65.41861,97.74047
Corsiaceae,12,2,12,0,0,0,0,0,AM,AM,AM,AM,27,0.444444444444444,NA,117.345735
Costaceae,6,3,6,0,0,0,0,0,AM,AM,AM,AM,139,0.043165467625899,50.052189,70.332801
Crassulaceae,65,12,32,0,0,0,33,0,NM,MIX,MIX,MIX,1482,0.043859649122807,70.26806,89.629776
Cucurbitaceae,31,21,29,0,0,0,2,0,AM,AM,AM,MIX,965,0.032124352331606,68.356749,73.384899
Cunoniaceae,10,8,10,0,0,0,0,0,AM,AM,AM,AM,245,0.040816326530612,76.414206,82.577537
Cupressaceae,83,25,83,0,0,0,0,0,AM,AM,AM,AM,166,0.5,113.563819,158.616807
