family,samp.sp,samp.ge,AM,EM,ER,MIX,NM,OM,type.50,type.60,type.80,type.100,global.rich,perc.rich,crown.age,stem.age
Acanthaceae,62,32,46,0,1,6,9,0,AM,AM,MIX,MIX,3947,0.0157081327590575,36.720997,42.016172
Achariaceae,7,5,7,0,0,0,0,0,AM,AM,AM,AM,101,0.0693069306930693,85.913263,87.55776
Achatocarpaceae,1,1,0,1,0,0,0,0,EM,EM,EM,EM,11,0.0909090909090909,11.997146,52.110063
Acoraceae,3,1,1,0,0,0,2,0,NM,NM,MIX,MIX,2,1.5,156.563854,171.266982
Actinidiaceae,5,1,3,0,0,2,0,0,AM,MIX,MIX,MIX,362,0.0138121546961326,68.396171,70.184411
Adiantaceae,9,5,0,0,0,9,0,0,MIX,MIX,MIX,MIX,124,0.0725806451612903,NA,NA
Adoxaceae,24,3,21,0,0,3,0,0,AM,AM,AM,MIX,194,0.123711340206186,75.385129,91.355933
Aizoaceae,21,15,6,0,0,0,15,0,NM,NM,MIX,MIX,2271,0.00924702774108322,42.783637,44.386534
Akaniaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,2,0.5,7.181411,55.276754
Alismataceae,16,6,9,0,0,0,7,0,AM,MIX,MIX,MIX,120,0.133333333333333,56.620586,63.488798
Alstroemeriaceae,2,2,2,0,0,0,0,0,AM,AM,AM,AM,254,0.0078740157480315,67.532339,99.207819
Altingiaceae,4,2,4,0,0,0,0,0,AM,AM,AM,AM,18,0.222222222222222,17.447292,96.105048
Amaranthaceae,166,49,81,0,4,2,79,0,MIX,MIX,MIX,MIX,2052,0.0808966861598441,38.449259,52.110063
Amaryllidaceae,71,17,65,0,0,6,0,0,AM,AM,AM,MIX,2258,0.0314437555358725,67.472543,71.218273
Anacardiaceae,63,25,59,0,0,4,0,0,AM,AM,AM,MIX,701,0.0898716119828816,59.095478,59.827346
Anarthriaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,11,0.0909090909090909,47.731764,54.971537
Anisophylleaceae,2,2,2,0,0,0,0,0,AM,AM,AM,AM,39,0.0512820512820513,29.031929,38.106467
Annonaceae,52,22,49,0,0,3,0,0,AM,AM,AM,MIX,2106,0.0246913580246914,45.497682,95.495022
Anthocerotaceae,1,1,0,0,0,1,0,0,MIX,MIX,MIX,MIX,124,0.00806451612903226,NA,NA
Aphloiaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,2,0.5,NA,94.450125
Apiaceae,152,67,132,0,0,18,2,0,AM,AM,AM,MIX,3257,0.0466687135400675,71.448109,73.389673
Apocynaceae,118,63,91,0,0,24,3,0,AM,AM,MIX,MIX,5556,0.0212383009359251,37.608252,46.755187
Aponogetonaceae,2,1,1,0,0,0,1,0,MIX,MIX,MIX,MIX,58,0.0344827586206897,48.715228,93.445196
Aquifoliaceae,21,1,19,0,0,2,0,0,AM,AM,AM,MIX,480,0.04375,65.833042,69.070213
Araceae,53,30,33,0,1,1,18,0,AM,AM,MIX,MIX,3368,0.0157363420427553,123.181678,140.998142
Araliaceae,54,18,46,0,0,8,0,0,AM,AM,AM,MIX,1533,0.0352250489236791,65.500479,76.578803
Araucariaceae,15,2,14,0,0,1,0,0,AM,AM,AM,MIX,39,0.384615384615385,167.203391,197.536807
Arecaceae,43,32,40,0,0,3,0,0,AM,AM,AM,MIX,2522,0.0170499603489294,114.999068,115.611843
Aristolochiaceae,10,2,9,0,0,1,0,0,AM,AM,AM,MIX,624,0.016025641025641,121.048267,122.157862
Asparagaceae,118,41,94,0,0,14,10,0,AM,AM,MIX,MIX,2929,0.0402867872994196,70.69267,71.218273
Asteliaceae,2,1,2,0,0,0,0,0,AM,AM,AM,AM,37,0.0540540540540541,39.722705,54.934989
Asteraceae,1072,370,909,35,1,120,7,0,AM,AM,AM,MIX,32913,0.032570716738067,45.743702,49.089766
Asteropeiaceae,2,1,0,0,0,0,2,0,NM,NM,NM,NM,8,0.25,NA,33.824843
Atherospermataceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,20,0.05,82.161245,89.030833
Austrobaileyaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,1,1,NA,179.240932
Balsaminaceae,16,1,12,0,0,4,0,0,AM,AM,MIX,MIX,488,0.0327868852459016,41.839657,45.042083
Basellaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,19,0.0526315789473684,16.562689,36.409964
Bataceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,2,0.5,NA,57.232018
Begoniaceae,15,2,12,0,0,3,0,0,AM,AM,MIX,MIX,1601,0.00936914428482199,36.996461,38.106467
Berberidaceae,30,10,25,0,0,5,0,0,AM,AM,AM,MIX,755,0.0397350993377483,117.268408,124.400456
Betulaceae,72,6,0,72,0,0,0,0,EM,EM,EM,EM,234,0.307692307692308,27.279624,32.795215
Biebersteiniaceae,1,1,1,0,0,0,0,0,AM,AM,AM,AM,5,0.2,23.824958,73.657286
Bignoniaceae,46,25,44,0,0,1,1,0,AM,AM,AM,MIX,852,0.0539906103286385,24.82755,29.203711
