family,rich,AM,EM,NM,OM,ER,AM.perc,EM.perc,NM.perc,OM.perc,ER.perc,AM.raw,EM.raw,ER.raw,MIX.raw,NM.raw,OM.raw,UNK.raw,AM.raw.perc,EM.raw.perc,ER.raw.perc,MIX.raw.perc,NM.raw.perc,OM.raw.perc,UNK.raw.perc,type.50,type.60,type.80,type.100,stem.age,r.e0,r.e05,r.e09,shannon
Acanthaceae,3947,2546.5,0,1257.5,0,0,0.669426919032597,0,0.330573080967403,0,0,1307,0,0,2479,12,0,149,0.331137572840132,0,0,0.628071953382316,0.00304028375981758,0,0.037750190017735,AM,AM,MIX,MIX,42.016172,0.197083900829015,0.180592777942584,0.142335755854878,0.63458374060852
Achariaceae,101,100,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,1,0.99009900990099,0,0,0,0,0,0.0099009900990099,AM,AM,AM,AM,87.55776,0.0527094402237022,0.0449055073213879,0.0273864392236436,0
Achatocarpaceae,11,5.5,5.5,0,0,0,0.5,0.5,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,MIX,MIX,MIX,MIX,52.110063,0.0460159733984273,0.0343841355407314,0.0133015993582649,0.693147180559945
Acoraceae,2,1,0,1,0,0,0.5,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,MIX,MIX,MIX,MIX,171.266982,0.00404717343918599,0.00236744469583848,0.000556500609115217,0.693147180559945
Actinidiaceae,176,176,0,0,0,0,1,0,0,0,0,176,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,70.184411,0.0736699777253691,0.0638746195649328,0.0415729175540745,0
Adoxaceae,194,190,0,1,0,0,0.994764397905759,0,0.00523560209424084,0,0,189,0,0,2,0,0,3,0.974226804123711,0,0,0.0103092783505155,0,0,0.0154639175257732,AM,AM,AM,MIX,91.355933,0.0576630108858209,0.0501319643684642,0.0329548480014729,0.0327206861068792
Aextoxicaceae,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,97.433843,0,0,0,0
Aizoaceae,2270,881.5,0,1224,0,0,0.418665400142484,0,0.581334599857516,0,0,4,0,0,1755,231,0,280,0.00176211453744493,0,0,0.773127753303965,0.101762114537445,0,0.123348017621145,NM,MIX,MIX,MIX,44.386534,0.17409638496386,0.158490148420816,0.122309773866363,0.679857569890944
Akaniaceae,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,55.276754,0.0125395782205291,0.00733518303386925,0.00172423619166069,0
Alismataceae,120,60,0,60,0,0,0.5,0,0.5,0,0,0,0,0,120,0,0,0,0,0,0,1,0,0,0,MIX,MIX,MIX,MIX,63.488798,0.0754068732374181,0.0646199565006223,0.0402784017326588,0.693147180559945
Alseuosmiaceae,6,6,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,76.151854,0.0235287701495495,0.0164508531662981,0.00532442858329049,0
Alstroemeriaceae,259,259,0,0,0,0,1,0,0,0,0,259,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,99.207819,0.0560119970150693,0.0490640203516175,0.0331465999420551,0
Altingiaceae,19,16,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,3,0.842105263157895,0,0,0,0,0,0.157894736842105,AM,AM,AM,AM,96.105048,0.0306377140477204,0.0239590442012374,0.0107134790378665,0
Amaranthaceae,2052,895.5,0,1257,0,0,0.41602787456446,0,0.58397212543554,0,0,21,0,0,1749,255,0,27,0.010233918128655,0,0,0.85233918128655,0.124269005847953,0,0.0131578947368421,NM,MIX,MIX,MIX,52.110063,0.146355037150707,0.133062787440096,0.102252063826835,0.678977490633186
Amaryllidaceae,2258,2241.5,0,10.5,0,0,0.995337477797513,0,0.00466252220248668,0,0,2231,0,0,21,0,0,6,0.988042515500443,0,0,0.00930026572187777,0,0,0.00265721877767936,AM,AM,AM,MIX,71.218273,0.108430525192735,0.0987040269273036,0.0761549996798361,0.0296809814889252
Amborellaceae,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,234.540723,0,0,0,0
Anacardiaceae,701,668,0,0,0,0,1,0,0,0,0,668,0,0,0,0,0,33,0.952924393723253,0,0,0,0,0,0.0470756062767475,AM,AM,AM,AM,59.827346,0.109523626320221,0.0979616616031382,0.0712496903513205,0
Anarthriaceae,11,5.5,0,5.5,0,0,0.5,0,0.5,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,MIX,MIX,MIX,MIX,54.971537,0.0436206699623183,0.0325943127482147,0.0126092013865275,0.693147180559945
Ancistrocladaceae,21,21,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,49.245253,0.0618236733949448,0.0486929221949245,0.0223089987712747,0
Anisophylleaceae,78,76,0,0,0,0,1,0,0,0,0,76,0,0,0,0,0,2,0.974358974358974,0,0,0,0,0,0.0256410256410256,AM,AM,AM,AM,38.106467,0.114329906960139,0.0964744559475187,0.0567704958232034,0
Annonaceae,2106,1910,0,0,0,0,1,0,0,0,0,1910,0,0,0,0,0,196,0.90693257359924,0,0,0,0,0,0.0930674264007597,AM,AM,AM,AM,95.495022,0.0801355456276445,0.0728820527759473,0.0560681058169329,0
Aphloiaceae,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,AM,AM,AM,AM,94.450125,0.00733876403615078,0.00429290176278924,0.00100910591494003,0
Apiaceae,3257,3099.5,1,31.5,0,0,0.989623243933589,0.000319284802043423,0.0100574712643678,0,0,3082,0,0,35,10,0,130,0.946269573226896,0,0,0.0107460853546208,0.00307031010132023,0,0.039914031317163,AM,AM,AM,MIX,73.389673,0.110213896242271,0.100773328266527,0.0788767130838199,0.0591515207791982
Apocynaceae,5556,5069,0,169,0,0,0.967735777014127,0,0.0322642229858725,0,0,4930,0,0,278,20,0,328,0.887329013678906,0,0,0.0500359971202304,0.00359971202303816,0,0.0590352771778258,AM,AM,AM,MIX,46.755187,0.184420900805599,0.16959971719758,0.135207825619767,0.142526812956482
Apodanthaceae,26,0,0,36,0,0,0,0,1,0,0,0,0,0,0,24,0,2,0,0,0,0,0.923076923076923,0,0.0769230769230769,NM,NM,NM,NM,NA,NA,NA,NA,0
Aponogetonaceae,58,28.5,0,28.5,0,0,0.5,0,0.5,0,0,0,0,0,57,0,0,1,0,0,0,0.982758620689655,0,0,0.0172413793103448,MIX,MIX,MIX,MIX,93.445196,0.0434526672783309,0.0362179160429582,0.0203553270560524,0.693147180559945
Aquifoliaceae,480,475,0,0,0,0,1,0,0,0,0,475,0,0,0,0,0,5,0.989583333333333,0,0,0,0,0,0.0104166666666667,AM,AM,AM,AM,69.070213,0.0893842053723207,0.0793789370469411,0.0563162791532267,0
Araceae,3368,1924.5,0,1454,0,0,0.569631493266242,0,0.430368506733758,0,0,535,0,0,2779,43,0,11,0.158847980997625,0,0,0.825118764845606,0.0127672209026128,0,0.00326603325415677,AM,MIX,MIX,MIX,140.998142,0.0576041234313727,0.0526902266757998,0.0412924443173976,0.683418500616959
Araliaceae,1533,1521.5,0,5.5,0,0,0.996398166339227,0,0.00360183366077276,0,0,1516,0,0,11,0,0,6,0.988910632746249,0,0,0.00717547292889759,0,0,0.00391389432485323,AM,AM,AM,MIX,76.578803,0.0957834490945466,0.0867405410001937,0.0657917108097032,0.0238603799706978
Araucariaceae,39,38,0,0,0,0,1,0,0,0,0,38,0,0,0,0,0,1,0.974358974358974,0,0,0,0,0,0.0256410256410256,AM,AM,AM,AM,197.536807,0.0185462228623025,0.0151654383760187,0.00794087917961459,0
Arecaceae,2522,2175,0,52,0,0,0.976650202065559,0,0.023349797934441,0,0,2123,0,0,104,0,0,295,0.841792228390167,0,0,0.0412371134020619,0,0,0.116970658207772,AM,AM,AM,MIX,115.611843,0.0677509095372251,0.0617588698770342,0.0478652058816421,0.110804133567071
