ID_dataset,species,number of plants studied,Host_age,mycorrhiza type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,other_remarks
9838,Aa_achalensis,3,NA,OM,NA,NA,NA,NA,NA
21068,Abarema_jupunba,NA,NA,AM; others not addressed,NA,NA,NA,NA,NA
19219,Abelmoschus_esculentus,NA,NA,AM; others not addressed,NA,NA,NA,NA,NA
23875,Abelmoschus_esculentus,NA,NA,AM; others not addressed,NA,NA,NA,NA,NA
11318,Abelmoschus_manihot,NA,NA,AM; others not addressed,NA,NA,NA,NA,NA
25806,Abies,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
26144,Abies,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
26828,Abies,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
1,Abies_alba,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
2,Abies_alba,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
7761,Abies_alba,NA,NA,EcM; no others,NA,NA,NA,NA,NA
24139,Abies_alba,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
31018,Abies_alba,NA,NA,EcM; no others,NA,NA,NA,NA,NA
3,Abies_amabilis,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
31019,Abies_amabilis,NA,NA,EcM; no others,NA,NA,NA,NA,NA
5,Abies_balsamea,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
6,Abies_balsamea,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
7,Abies_balsamea,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
8148,Abies_balsamea,6,>10 years,EcM; no others,NA,NA,NA,NA,NA
20455,Abies_balsamea,NA,NA,EcM; no others,NA,NA,NA,NA,NA
20543,Abies_balsamea,NA,NA,EcM; no others,NA,NA,NA,NA,NA
31020,Abies_balsamea,NA,NA,EcM; no others,NA,NA,NA,NA,NA
32889,Abies_balsamea_var._phanerolepis,4,2-10 years (sapling),EcM; others not addressed,NA,NA,NA,NA,NA
8,Abies_cephalonica,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
9,Abies_cilicica,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
10,Abies_cilicica,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
11,Abies_concolor,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
12,Abies_concolor,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
13477,Abies_concolor,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
22955,Abies_concolor,NA,NA,EcM; no others,NA,NA,NA,NA,NA
31021,Abies_concolor,NA,NA,EcM; no others,NA,NA,NA,NA,NA
16545,Abies_fargesii,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
16548,Abies_fargesii,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
15478,Abies_fargesii_var._faxoniana,NA,>10 years,EcM; others not addressed,NA,NA,NA,NA,NA
13,Abies_firma,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
14,Abies_firma,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
8485,Abies_firma,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
11319,Abies_firma,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
15792,Abies_firma,NA,NA,non-mycorrhizal (checked for all types),Leho Tedersoo,incorrect report,NA,NA,H: forest: subtropical broadleaf forest biome
15,Abies_fraseri,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
17,Abies_grandis,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
18,Abies_grandis,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
24663,Abies_grandis,NA,NA,EcM; others not addressed,NA,NA,NA,NA,NA
