"clade", "rich", "div", "age", "r.e0", "r.e09"
1,96,4.564348191,69.46613322,0.065706093,0.033849232
2,226,5.420534999,69.46613322,0.078031333,0.045446612
3,1,0,270.6661112,0,0
4,71,4.262679877,147.0862728,0.028980814,0.014137564
5,45,3.80666249,91.75330086,0.041488017,0.018379709
6,1,0,91.75330086,0,0
7,266,5.583496309,171.1536964,0.032622704,0.0193638
8,41,3.713572067,93.84741488,0.039570318,0.017149518
9,199,5.293304825,93.84741488,0.05640331,0.032339228
10,1,0,101.4737174,0,0
11,173,5.153291594,64.39035264,0.080032045,0.04505988
12,32,3.465735903,64.39035264,0.053823838,0.021913018
13,1,0,183.9906694,0,0
14,12,2.48490665,108.2887884,0.022947035,0.00685147
15,7,1.945910149,32.54101524,0.059798692,0.014443422
16,152,5.023880521,32.54101524,0.154386103,0.085394363
17,1,0,95.85730438,0,0
18,5,1.609437912,60.43091222,0.026632693,0.005567883
19,85,4.442651256,60.43091222,0.073516204,0.037078866
20,84,4.430816799,156.9385143,0.02823282,0.014209478
21,23,3.135494216,77.26194415,0.040582647,0.015054641
22,70,4.248495242,77.26194415,0.0549882,0.026751369
23,1,0,71.56365766,0,0
24,735,6.599870499,26.70065453,0.247180102,0.161398888
25,10,2.302585093,26.70065453,0.086237028,0.024038882
26,3962,8.284504227,54.26945809,0.152655002,0.110268065
27,8,2.079441542,54.26945809,0.038316976,0.009777659
28,517,6.248042875,83.02914682,0.075251199,0.047726808
29,271,5.602118821,58.26055967,0.096156282,0.057194859
30,2,0.693147181,37.80589948,0.018334366,0.00252104
31,1,0,37.80589948,0,0
32,2776,7.928766322,44.12006804,0.179708842,0.127593141
33,3,1.098612289,44.12006804,0.024900512,0.004132395
34,11,2.397895273,110.6758025,0.02166594,0.006262861
35,63,4.143134726,50.98719439,0.081258339,0.038717193
36,1,0,27.41756364,0,0
37,24,3.17805383,27.41756364,0.115913065,0.043545899
38,341,5.831882477,61.36531734,0.095035481,0.057937418
39,73,4.290459441,59.50581288,0.072101518,0.035360145
40,4082,8.314342343,59.50581288,0.139723196,0.101065078
41,2,0.693147181,146.1230468,0.004743586,0.00065226
42,4038,8.303504799,121.5902694,0.068290866,0.049371928
43,29,3.36729583,116.0848847,0.029007186,0.011500214
44,126,4.836281907,72.87795312,0.066361385,0.035712991
45,139,4.934473933,65.50409114,0.075330775,0.041136777
46,2,0.693147181,65.50409114,0.010581739,0.001455026
47,1,0,83.91344318,0,0
48,60,4.094344562,81.45460816,0.050265352,0.023712856
49,40,3.688879454,63.10628787,0.058455022,0.025183468
50,24,3.17805383,29.54427129,0.107569207,0.040411302
51,200,5.298317367,29.54427129,0.179334847,0.102887938
52,13,2.564949357,39.43098218,0.065049086,0.019995884
53,8,2.079441542,31.08268764,0.066900313,0.017071505
54,16,2.772588722,31.08268764,0.089200418,0.029479135
55,4,1.386294361,123.2828768,0.011244825,0.002128148
56,36,3.583518938,79.88960117,0.044855887,0.018826948
57,164,5.099866428,58.2520937,0.087548208,0.048937408
58,679,6.520621128,58.2520937,0.11193797,0.07263608
59,54,3.988984047,72.27636303,0.055190714,0.025465443
60,301,5.707110265,57.94522597,0.098491466,0.059262642
61,39,3.663561646,46.86613174,0.078170771,0.033470138
62,1075,6.980075941,31.0238381,0.224990729,0.1510396
63,250,5.521460918,31.0238381,0.177974785,0.104894919
64,186,5.225746674,81.40692023,0.064192905,0.036488476
65,1,0,72.20414823,0,0
66,290,5.669880923,51.56199781,0.109962398,0.065898503
67,273,5.609471795,51.56199781,0.108790816,0.064763239
68,6,1.791759469,58.11601885,0.030830733,0.006976822
69,2,0.693147181,58.11601885,0.011926956,0.001639998
70,276,5.620400866,40.96980716,0.137183972,0.081765191
71,778,6.656726524,40.96980716,0.162478835,0.106557571
72,27,3.295836866,33.29937339,0.098975942,0.038467206
73,4,1.386294361,33.29937339,0.041631245,0.007878955
74,28865,10.27038507,99.03751647,0.103701965,0.080455488
75,13,2.564949357,71.73693893,0.035754932,0.010990954
76,4,1.386294361,61.73954208,0.022453914,0.004249534
77,1,0,45.41440353,0,0
78,37,3.610917913,36.28785066,0.099507627,0.042054194
79,163,5.093750201,36.28785066,0.140370678,0.078398399
80,4,1.386294361,57.63891176,0.024051363,0.00455186
81,27,3.295836866,57.63891176,0.057180761,0.022223422
82,2,0.693147181,62.24175615,0.011136369,0.00153129
83,2423,7.792761721,52.56292137,0.148255872,0.104520145
84,2,0.693147181,44.71214548,0.015502436,0.00213164
85,1338,7.198931241,34.63425846,0.207855793,0.141566481
86,2390,7.779048645,28.58435265,0.2721436,0.191721052
87,3113,8.04334217,28.58435265,0.281389691,0.200936648
88,2658,7.885329239,104.2134232,0.075665197,0.053602734
89,17,2.833213344,101.3244228,0.027961801,0.009430218
90,757,6.629363253,63.86283105,0.103806285,0.067936185
91,10,2.302585093,63.86283105,0.036055168,0.010050508
92,6,1.791759469,70.31951259,0.02548026,0.00576604
93,104,4.644390899,55.63986424,0.083472362,0.043580313
94,34,3.526360525,55.63986424,0.063378309,0.026215287
95,80,4.382026635,84.64517243,0.051769363,0.02582606
96,209,5.342334252,61.45684466,0.086928222,0.050147546
97,7,1.945910149,47.09654494,0.041317471,0.009979578
98,18,2.890371758,47.09654494,0.061371206,0.021089695
99,599,6.395261598,42.01777229,0.152203728,0.09775839
100,13,2.564949357,42.01777229,0.061044392,0.018764854
101,1636,7.400009517,48.64758104,0.152114645,0.104895464
102,142,4.955827058,48.64758104,0.101872014,0.055803283
103,68,4.219507705,79.45485195,0.053105727,0.025690317
104,3473,8.152774053,79.45485195,0.102608889,0.073661669
105,97,4.574710979,85.12619816,0.053740342,0.027733577
106,398,5.986452005,64.07010369,0.093435966,0.057846451
107,1222,7.10824414,64.07010369,0.110944789,0.075120794
108,7,1.945910149,70.26579216,0.027693563,0.006688939
109,4,1.386294361,55.25289739,0.025089985,0.004748425
110,5987,8.697345731,36.73914453,0.236732397,0.174099393
111,528,6.269096284,36.73914453,0.170638058,0.108424218
112,12,2.48490665,58.21149149,0.042687562,0.012745548
113,37,3.610917913,34.94601861,0.103328449,0.04366896
114,487,6.188264123,34.94601861,0.177080662,0.111714896
115,5,1.609437912,60.29531545,0.026692586,0.005580404
116,12352,9.421573272,36.80095787,0.256014349,0.193465522
117,4,1.386294361,30.9923162,0.04473026,0.008465462
118,3,1.098612289,30.9923162,0.035447892,0.005882799
119,4,1.386294361,154.3528154,0.008981335,0.00169977
120,2,0.693147181,111.7693475,0.006201586,0.00085274
121,1239,7.122059882,109.7820287,0.064874552,0.043966326
122,45,3.80666249,68.61241685,0.055480665,0.024578626
123,2,0.693147181,68.61241685,0.010102358,0.00138911
124,724,6.584791392,72.32745354,0.091041383,0.059376632
125,970,6.877296071,55.71808816,0.123430223,0.082270349
126,3820,8.248005702,55.71808816,0.148031025,0.10674763
127,202,5.308267697,141.4286622,0.037533182,0.021560503
128,5,1.609437912,102.0936565,0.015764328,0.003295721
129,10,2.302585093,81.51934263,0.028245874,0.007873639
130,2575,7.853604813,81.51934263,0.096340384,0.068137311
131,2,0.693147181,136.2758753,0.005086353,0.000699391
132,143,4.96284463,121.9616758,0.040691837,0.022312709
133,1,0,121.9616758,0,0
134,72,4.276666119,91.57653089,0.04670046,0.022842797
135,2,0.693147181,91.57653089,0.007569048,0.001040771
136,489,6.192362489,123.4400501,0.050164938,0.031659214
137,1,0,38.72539695,0,0
138,3,1.098612289,38.72539695,0.028369297,0.004708062
139,38,3.63758616,46.25916188,0.078634934,0.033454184
140,1392,7.238496841,46.25916188,0.156477043,0.106840597
141,1401,7.244941546,47.4416532,0.15271267,0.104312551
142,16,2.772588722,42.3710535,0.065435917,0.021625394
143,67,4.204692619,42.3710535,0.099235027,0.047866363
144,225,5.416100402,27.14706107,0.199509641,0.116135445
