,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Acorales,2,14.71913,151.09124,21.57188,145.93498,4.53062,39.90488,143.64677,148.05493,Acorales,NA,NA
Alismatales,38,146.97951,149.81593,140.08401,143.52375,136.71885,143.26023,140.99678,145.59588,Alismatales,NA,NA
Amborellales,1,NA,154.2291,NA,154.05663,NA,NA,153.71601,154.22944,Amborellales,NA,NA
Apiales,23,125.26471,134.30835,95.45168,102.60559,83.91782,106.90018,91.65477,113.89462,Apiales,NA,NA
Aquifoliales,10,131.27573,144.77032,104.24571,122.89284,84.18373,123.8761,114.30254,130.79471,Aquifoliales,NA,NA
Arecales,12,136.5572,142.82886,118.31816,129.78136,105.24334,129.41302,125.05265,134.43669,Arecales,NA,NA
Asparagales,56,142.97883,145.8752,127.55155,133.4694,119.47649,134.09217,128.50402,137.36836,Asparagales,NA,NA
Asterales,49,127.30092,138.83125,105.17709,115.0397,95.41867,113.69458,105.79131,122.8757,Asterales,NA,NA
Austrobaileyales,4,130.18034,153.46802,134.05831,152.27949,121.96448,147.70872,151.33597,153.13078,Austrobaileyales,NA,NA
Berberidopsidales,3,97.42491,150.27708,37.8844,138.97982,10.08355,76.874,136.38607,141.51744,Berberidopsidales,NA,NA
Boraginales,18,103.88484,138.1948,86.58886,113.06926,70.54532,104.91992,103.38181,120.89163,Boraginales,NA,NA
Brassicales,34,126.24663,141.32196,104.2075,116.41176,95.10684,113.64231,109.81001,122.29012,Brassicales,NA,NA
Bruniales,4,NA,NA,NA,NA,NA,NA,NA,NA,Bruniales,NA,NA
Buxales,2,115.62056,151.76955,96.77077,145.71179,66.45149,128.12868,143.96967,147.48183,Buxales,NA,NA
Canellales,4,125.10227,149.44532,129.73143,140.33856,125.00041,137.04598,134.04937,146.10401,Canellales,NA,NA
Caryophyllales,103,129.43531,149.90615,127.92309,137.23863,121.32415,135.05841,134.21275,140.27383,Caryophyllales,NA,NA
Celastrales,6,117.49609,146.954,101.57847,125.75278,78.23738,119.64679,119.11826,131.07509,Celastrales,NA,NA
Ceratophyllales,2,11.15733,152.98005,20.28791,150.05916,3.6639,43.65989,148.89545,151.25349,Ceratophyllales,NA,NA
Chloranthales,2,123,152.57005,128.94668,148.36061,123.00586,136.51604,146.35243,150.16732,Chloranthales,NA,NA
Commelinales,11,121.10607,128.20764,104.03731,114.21946,91.01467,117.01308,103.94807,123.36897,Commelinales,NA,NA
Cornales,13,133.06146,148.03092,104.70411,134.25733,87.01498,124.37753,130.34344,138.0781,Cornales,NA,NA
Crossosomatales,12,138.40285,147.95993,108.92413,130.31594,91.29462,125.58433,126.15,134.66602,Crossosomatales,NA,NA
Cucurbitales,19,138.46249,145.94847,98.70462,123.06241,81.49116,111.27412,116.67488,128.2919,Cucurbitales,NA,NA
Cycadales,1,NA,299.78607,NA,159.90948,NA,NA,99.99888,213.20356,Cycadales,NA,NA
Dilleniales,4,51.33381,150.80508,67.24837,142.46111,47.86187,88.47809,140.33285,144.28935,Dilleniales,NA,NA
Dioscoreales,13,143.6982,145.66512,121.11071,130.38962,108.57947,132.23687,121.2867,137.44794,Dioscoreales,NA,NA
Dipsacales,10,122.13054,129.54974,83.84281,95.33548,66.81901,102.62619,80.74205,109.32736,Dipsacales,NA,NA
Ericales,65,141.1501,147.32259,124.21952,132.12474,119.02389,129.05967,127.54978,136.15555,Ericales,NA,NA
Escalloniales,2,124.07821,135.95908,83.26349,106.08682,50.53499,104.14349,95.43054,115.86271,Escalloniales,NA,NA
Fabales,17,119.66706,147.25828,110.17848,128.47744,97.70311,121.81707,123.66703,133.34812,Fabales,NA,NA
Fagales,13,131.5725,145.94847,114.25718,123.06241,106.19624,121.64308,116.67488,128.2919,Fagales,NA,NA
Garryales,3,107.29562,140.65336,74.51969,111.61282,47.80875,103.26079,88.89729,125.65827,Garryales,NA,NA
Gentianales,27,120.93372,137.92224,100.89555,112.61205,89.65846,109.14636,100.07748,120.85989,Gentianales,NA,NA
Geraniales,4,140.72287,148.89317,114.03406,134.32329,93.27528,131.15379,130.91432,137.84017,Geraniales,NA,NA
