,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Acorales,2,18.10546,141.46561,18.10546,141.46561,5.57748,35.71816,137.34253,145.84953,Acorales,NA,NA
Alismatales,38,127.2304,137.29389,127.2304,137.29389,116.89787,136.62113,131.89565,142.06218,Alismatales,NA,NA
Amborellales,1,NA,153.88886,NA,153.88886,NA,NA,153.19715,154.22946,Amborellales,NA,NA
Apiales,23,74.36601,83.82018,74.36601,83.82018,61.3229,87.87572,68.34864,95.94355,Apiales,NA,NA
Aquifoliales,10,88.35099,111.19822,88.35099,111.19822,62.77841,107.52536,103.10523,118.40202,Aquifoliales,NA,NA
Arecales,12,100.05371,121.91498,100.05371,121.91498,68.24209,122.34456,116.70465,129.3052,Arecales,NA,NA
Asparagales,56,116.59417,126.06784,116.59417,126.06784,102.34433,127.98025,121.07827,131.56895,Asparagales,NA,NA
Asterales,49,95.62919,103.0628,95.62919,103.0628,87.36392,103.89601,94.20549,111.75591,Asterales,NA,NA
Austrobaileyales,4,131.90652,151.19714,131.90652,151.19714,119.56545,143.36897,149.56255,152.66375,Austrobaileyales,NA,NA
Berberidopsidales,3,27.2956,131.86209,27.2956,131.86209,8.46555,46.42495,127.85444,135.94735,Berberidopsidales,NA,NA
Boraginales,18,73.3773,97.96693,73.3773,97.96693,57.67468,89.79575,90.79513,104.42401,Boraginales,NA,NA
Brassicales,34,93.73943,104.12686,93.73943,104.12686,84.31163,102.75454,93.52279,113.92882,Brassicales,NA,NA
Bruniales,4,NA,NA,NA,NA,NA,NA,NA,NA,Bruniales,NA,NA
Buxales,2,85.82016,141.42354,85.82016,141.42354,48.799,127.51249,138.39228,144.23224,Buxales,NA,NA
Canellales,4,128.67232,137.75491,128.67232,137.75491,125.00135,135.00593,130.77305,144.35003,Canellales,NA,NA
Caryophyllales,103,117.76666,129.59282,117.76666,129.59282,106.45782,125.36387,125.41866,134.16987,Caryophyllales,NA,NA
Celastrales,6,89.42281,114.65951,89.42281,114.65951,68.92767,107.6521,107.62075,121.0266,Celastrales,NA,NA
Ceratophyllales,2,18.41377,147.97927,18.41377,147.97927,2.41649,35.24802,145.92129,149.95347,Ceratophyllales,NA,NA
Chloranthales,2,129.40127,145.62838,129.40127,145.62838,123.00333,138.00476,142.78268,148.56149,Chloranthales,NA,NA
Commelinales,11,95.90104,105.64602,95.90104,105.64602,79.82023,115.68259,90.65825,119.50899,Commelinales,NA,NA
Cornales,13,70.91809,124.27417,70.91809,124.27417,50.63856,90.68921,119.67265,129.06631,Cornales,NA,NA
Crossosomatales,12,93.75759,120.23871,93.75759,120.23871,64.03252,120.35453,112.08671,127.39394,Crossosomatales,NA,NA
Cucurbitales,19,92.58877,111.34551,92.58877,111.34551,78.02296,107.12456,103.68316,118.72231,Cucurbitales,NA,NA
Cycadales,1,NA,153.88562,NA,153.88562,NA,NA,58.28709,238.44634,Cycadales,NA,NA
Dilleniales,4,65.27366,136.56375,65.27366,136.56375,35.01154,115.11641,132.50141,139.97862,Dilleniales,NA,NA
Dioscoreales,13,114.67275,123.41982,114.67275,123.41982,102.07071,126.61908,113.94225,133.15726,Dioscoreales,NA,NA
Dipsacales,10,68.62073,76.55249,68.62073,76.55249,51.91734,83.19281,60.95542,90.55906,Dipsacales,NA,NA
Ericales,65,113.35639,121.39039,113.35639,121.39039,106.05405,120.44774,116.77842,126.34193,Ericales,NA,NA
Escalloniales,2,68.96819,87.82412,68.96819,87.82412,43.44951,88.93935,71.98594,101.73525,Escalloniales,NA,NA
Fabales,17,95.04977,117.53883,95.04977,117.53883,76.69771,114.01853,110.46289,123.46052,Fabales,NA,NA
