,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Acorales,2,14.07077,152.7406,24.62129,151.12257,6.48734,48.66621,149.02865,152.92946,Acorales,NA,NA
Alismatales,38,148.21123,151.10382,144.74387,148.86337,140.9236,148.07824,146.41468,151.15044,Alismatales,NA,NA
Amborellales,1,NA,213.25339,NA,195.76844,NA,NA,176.9698,218.1171,Amborellales,NA,NA
Apiales,23,126.35808,135.45353,96.3491,103.54939,84.89236,105.80142,94.8033,113.60955,Apiales,NA,NA
Aquifoliales,10,131.5601,145.68003,105.52612,124.39464,87.35888,121.75111,115.35357,130.50376,Aquifoliales,NA,NA
Arecales,12,138.25016,144.13543,123.93083,136.38959,106.60531,137.22633,130.7495,141.00639,Arecales,NA,NA
Asparagales,56,144.25589,147.19882,133.38345,139.83851,126.60743,140.48509,134.55834,144.05774,Asparagales,NA,NA
Asterales,49,128.15958,140.57028,106.86909,117.33552,99.05814,114.93647,109.23956,124.72068,Asterales,NA,NA
Austrobaileyales,4,138.65251,184.07215,137.9112,176.08163,122.86262,154.20408,164.98046,191.14436,Austrobaileyales,NA,NA
Berberidopsidales,3,99.62067,151.43843,38.68292,142.50112,13.35056,79.71527,139.86505,145.15103,Berberidopsidales,NA,NA
Boraginales,18,105.63043,139.64581,86.51962,111.94497,70.61622,99.44543,102.20748,120.88469,Boraginales,NA,NA
Brassicales,34,127.23987,142.57678,109.68873,119.23142,99.38536,117.85735,111.68897,125.57768,Brassicales,NA,NA
Bruniales,4,NA,NA,NA,NA,NA,NA,NA,NA,Bruniales,NA,NA
Buxales,2,117.03079,153.00639,103.05742,149.34638,68.14383,147.41856,147.73589,151.01719,Buxales,NA,NA
Canellales,4,127.54388,158.89658,131.62556,147.71581,125.0017,140.11077,138.69279,156.21726,Canellales,NA,NA
Caryophyllales,103,131.50503,151.0819,131.25462,140.78003,123.06113,138.44292,137.61214,143.88388,Caryophyllales,NA,NA
Celastrales,6,118.4742,148.19403,103.34996,129.25559,83.33884,126.00377,122.56721,134.97891,Celastrales,NA,NA
Ceratophyllales,2,11.2554,154.229,21.30475,153.91562,6.50496,44.39037,153.29678,154.22909,Ceratophyllales,NA,NA
Chloranthales,2,123,154.229,131.48289,153.65175,123.01065,140.17161,152.55788,154.22905,Chloranthales,NA,NA
Commelinales,11,122.47841,130.12815,109.50067,121.44498,90.2028,127.36302,106.84841,133.04288,Commelinales,NA,NA
