,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Acorales,2,14.25606,152.03212,15.86221,148.37215,3.3792,35.54297,144.11253,152.2498,Acorales,NA,NA
Alismatales,38,142.55061,150.2742,132.49448,143.64095,120.6846,142.88795,138.53401,147.90611,Alismatales,NA,NA
Amborellales,1,NA,221.73686,NA,187.63673,NA,NA,174.60676,205.27376,Amborellales,NA,NA
Apiales,23,126.04962,135.08489,80.78597,89.88878,64.82236,94.1644,75.69759,101.95154,Apiales,NA,NA
Aquifoliales,10,131.10779,144.69293,89.42258,114.4781,63.74574,111.27528,107.32831,121.87231,Aquifoliales,NA,NA
Arecales,12,136.22478,143.19723,106.65119,126.36039,80.4463,127.30626,120.2912,132.81524,Arecales,NA,NA
Asparagales,56,142.94445,146.37118,123.02111,130.81368,112.85969,132.64383,125.87942,135.93254,Asparagales,NA,NA
Asterales,49,127.95341,140.20218,97.85415,106.55877,90.55167,105.67671,99.01193,115.35874,Asterales,NA,NA
Austrobaileyales,4,150.38727,197.12202,139.71259,171.36255,120.29694,159.23638,162.29106,182.83531,Austrobaileyales,NA,NA
Berberidopsidales,3,99.53364,151.37233,32.6551,135.73807,12.72245,56.21841,130.93135,140.95075,Berberidopsidales,NA,NA
Boraginales,18,104.97394,139.14161,74.68496,101.86025,57.43162,93.97547,92.95456,108.98953,Boraginales,NA,NA
Brassicales,34,124.20679,141.59235,91.644,104.10843,80.44583,102.22427,94.25976,114.1489,Brassicales,NA,NA
Bruniales,4,NA,NA,NA,NA,NA,NA,NA,NA,Bruniales,NA,NA
Buxales,2,115.89245,152.95156,84.25083,145.57353,26.00589,121.45355,142.13734,148.97317,Buxales,NA,NA
Canellales,4,139.67006,175.14467,130.66202,145.33993,125.00125,138.37547,136.46233,154.17343,Canellales,NA,NA
Caryophyllales,103,129.07963,150.90884,120.15902,133.34729,109.9526,130.1161,128.18415,138.61569,Caryophyllales,NA,NA
