,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Acorales,2,22.25656,240.12653,30.32946,222.13899,6.50841,59.83907,213.70164,227.85079,Acorales,NA,NA
Alismatales,38,225.40229,236.90513,204.59392,216.1881,192.12477,215.54301,210.03813,222.29362,Alismatales,NA,NA
Amborellales,1,NA,247,NA,246.40569,NA,NA,245.02724,247.09993,Amborellales,NA,NA
Apiales,23,195.42311,209.86341,130.17164,143.47643,111.53785,153.14694,125.32342,163.11842,Apiales,NA,NA
Aquifoliales,10,205.43119,227.7109,142.14989,175.64716,108.63021,172.59613,150.8194,187.45724,Aquifoliales,NA,NA
Arecales,12,209.17938,222.55944,162.29109,186.49253,132.05074,186.32826,178.37685,194.76665,Arecales,NA,NA
Asparagales,56,223.63287,229.16257,181.59488,194.58545,168.01462,196.99893,187.04241,201.97302,Asparagales,NA,NA
Asterales,49,198.83277,219.13528,136.47779,161.76705,117.99776,152.91838,143.57794,176.54225,Asterales,NA,NA
Austrobaileyales,4,196.29121,245.57046,164.81237,240.72119,127.58137,201.74371,237.34325,243.62748,Austrobaileyales,NA,NA
Berberidopsidales,3,127.28857,239.33799,55.03924,209.13121,24.01795,102.49362,204.03618,214.918,Berberidopsidales,NA,NA
Boraginales,18,159.30011,217.13134,113.40043,157.23525,85.29818,148.51102,141.73371,170.11562,Boraginales,NA,NA
Brassicales,34,193.81713,222.32774,151.25355,168.36052,136.91377,167.09716,153.84808,180.58931,Brassicales,NA,NA
Bruniales,4,NA,NA,NA,NA,NA,NA,NA,NA,Bruniales,NA,NA
Buxales,2,180.42548,241.99369,106.18853,223.89358,66.16115,157.44649,219.86406,228.13952,Buxales,NA,NA
Canellales,4,189.69566,237.23001,154.69603,203.76315,125.01548,185.58299,179.19103,226.28608,Canellales,NA,NA
Caryophyllales,103,201.78125,238.62513,184.78929,205.47759,178.487,192.21314,198.93286,211.24689,Caryophyllales,NA,NA
Celastrales,6,187.00078,232.76806,138.79027,180.36016,114.2745,158.81268,171.21846,192.10564,Celastrales,NA,NA
Ceratophyllales,2,17.56037,244.35155,22.08971,235.26977,6.37123,45.94075,231.53482,238.88896,Ceratophyllales,NA,NA
Chloranthales,2,167.15972,243.47355,152.42781,229.95051,123.00866,189.85021,222.72904,235.77845,Chloranthales,NA,NA
Commelinales,11,187.32634,197.6029,147.71069,160.98402,122.39308,168.44825,137.60892,180.87045,Commelinales,NA,NA
Cornales,13,204.41668,234.84476,126.23893,196.75581,101.0515,158.86567,185.85177,204.78461,Cornales,NA,NA
Crossosomatales,12,211.28909,234.47192,145.84241,192.20316,111.04204,180.64438,181.39063,202.12071,Crossosomatales,NA,NA
Cucurbitales,19,216.67409,230.90155,144.79405,175.51407,123.89779,163.61689,164.45487,186.37,Cucurbitales,NA,NA
Cycadales,1,NA,279.97447,NA,191.27739,NA,NA,139.5283,265.91419,Cycadales,NA,NA
Dilleniales,4,85.60003,240.30663,77.70393,216.89802,49.8524,113.7824,212.25401,221.02012,Dilleniales,NA,NA
Dioscoreales,13,225.77599,228.96683,179.43586,192.40706,160.50465,197.00657,179.2432,205.95964,Dioscoreales,NA,NA
Dipsacales,10,189.08371,201.97464,118.28901,132.97206,94.64525,146.02627,106.56622,156.57605,Dipsacales,NA,NA
Ericales,65,221.85369,233.32076,173.01315,191.95353,159.99001,185.06876,179.80901,199.74431,Ericales,NA,NA
Escalloniales,2,195.01189,212.86529,118.21593,148.75663,77.87961,148.09177,129.6322,167.68258,Escalloniales,NA,NA
Fabales,17,176.14189,233.30791,151.13174,186.66444,123.15301,174.23849,177.10705,195.85226,Fabales,NA,NA
Fagales,13,196.35671,230.90155,151.37216,175.51407,127.71681,170.23704,164.45487,186.37,Fagales,NA,NA
Garryales,3,171.14631,221.38978,99.60475,164.93876,50.15419,147.91341,141.61152,182.61478,Garryales,NA,NA
Gentianales,27,185.7163,216.56757,131.9177,156.49469,119.72959,148.65153,141.69967,168.99603,Gentianales,NA,NA
Geraniales,4,223.01947,236.48912,173.35003,199.19022,149.08949,197.27842,190.23411,207.60061,Geraniales,NA,NA
Ginkgoales,1,NA,246.06288,NA,149.32246,NA,NA,101.6073,209.85575,Ginkgoales,NA,NA
Gnetales,2,210.60933,353.79664,192.81281,333.2634,135.28964,238.37353,269.99923,375.9069,Gnetales,NA,NA
Gunnerales,4,211.53494,240.54357,137.53553,219.07264,87.11663,207.72239,214.8236,223.29067,Gunnerales,NA,NA
Huerteales,6,191.5326,226.30351,123.26515,174.85398,78.61581,171.33359,160.54971,185.85348,Huerteales,NA,NA
Icacinales,4,NA,NA,NA,NA,NA,NA,NA,NA,Icacinales,NA,NA
Lamiales,97,206.35039,217.13134,140.95483,157.23525,126.38117,156.40668,141.73371,170.11562,Lamiales,NA,NA
Laurales,23,198.8881,232.92842,162.43786,196.07511,137.65433,185.97962,159.64507,228.37928,Laurales,NA,NA
Liliales,19,223.96335,230.19405,168.73577,197.80095,148.32793,186.73177,190.48402,204.7537,Liliales,NA,NA
Magnoliales,16,209.36676,232.92842,160.09844,196.07511,128.54998,200.81448,159.64507,228.37928,Magnoliales,NA,NA
Malpighiales,89,225.67175,232.76806,165.95856,180.36016,154.93618,178.92131,171.21846,192.10564,Malpighiales,NA,NA
Malvales,35,210.80745,222.32774,149.18246,168.36052,132.35571,169.41003,153.84808,180.58931,Malvales,NA,NA
Metteniusales,2,NA,NA,NA,NA,NA,NA,NA,NA,Metteniusales,NA,NA
Myrtales,21,181.43731,235.98304,166.34914,197.08235,142.75848,183.3252,187.68861,205.24982,Myrtales,NA,NA
Nymphaeales,7,200.50906,246.29963,203.38237,243.80848,167.01672,226.95785,241.22147,246.20705,Nymphaeales,NA,NA
Oxalidales,13,226.23259,234.00712,174.95337,186.7381,154.85706,190.37946,175.69015,196.32311,Oxalidales,NA,NA
Pandanales,10,200.70897,228.96683,148.67639,192.40706,121.59078,173.13947,179.2432,205.95964,Pandanales,NA,NA
Paracryphiales,2,174.11871,215.10638,74.11296,153.27185,27.8813,142.67763,136.03248,172.70883,Paracryphiales,NA,NA
Petrosaviales,2,197.48143,232.32793,104.67471,206.32717,25.34943,186.09591,198.53607,214.77713,Petrosaviales,NA,NA
Pinales,2,175.84213,246.06288,90.01589,149.32246,62.66983,120.10326,101.6073,209.85575,Pinales,NA,NA
Piperales,11,221.05538,237.23001,172.97922,203.76315,150.95666,198.29083,179.19103,226.28608,Piperales,NA,NA
Poales,67,207.98628,220.26831,171.45654,181.98897,159.13991,182.3112,173.60764,190.0398,Poales,NA,NA
Pricramniales,2,59.46846,233.33386,48.03533,188.63896,17.68258,90.07806,177.07927,199.30328,Pricramniales,NA,NA
Proteales,11,NA,NA,NA,NA,NA,NA,NA,NA,Proteales,NA,NA
Ranunculales,22,224.40931,242.96287,204.69135,230.59191,179.19268,227.04993,226.83623,234.51518,Ranunculales,NA,NA
Rosales,27,204.78905,232.73521,159.34324,182.75145,141.09808,176.07412,173.28363,192.22523,Rosales,NA,NA
Santalales,27,236.53964,239.8559,200.17918,212.28726,188.12246,210.00446,207.84992,217.17844,Santalales,NA,NA
Sapindales,22,150.60633,229.05918,141.70523,181.27231,120.98422,174.54464,167.66287,191.49844,Sapindales,NA,NA
Saxifragales,30,229.37232,239.76006,172.72788,211.77108,144.56905,198.64839,206.52652,217.25034,Saxifragales,NA,NA
Solanales,28,209.28254,216.56757,145.76127,156.49469,129.73558,165.37512,141.69967,168.99603,Solanales,NA,NA
Trochodendrales,2,52.33802,241.93681,30.39501,222.73908,10.95048,61.14565,218.83015,226.93302,Trochodendrales,NA,NA
Vahliales,2,47.4337,219.98783,26.11273,165.44171,4.63589,55.12312,149.9284,177.60433,Vahliales,NA,NA
Vitales,2,141.04254,239.44428,115.70904,209.11009,61.89259,176.82247,203.00072,214.7996,Vitales,NA,NA
Zingiberales,17,129.35907,197.6029,114.24381,160.98402,85.16049,136.09309,137.60892,180.87045,Zingiberales,NA,NA
Zygophyllales,3,170.21879,237.02259,119.95726,198.59872,72.45065,164.61148,191.25248,205.83268,Zygophyllales,NA,NA
Acanthaceae,8,161.50248,178.77299,79.05693,90.4902,64.6052,94.31256,79.44924,101.56212,Lamiales,Acanthaceae,NA
Achariaceae,2,210.50689,213.89461,94.42623,130.45471,54.00602,128.53783,115.87715,146.3094,Malpighiales,Achariaceae,NA
Achatocarpaceae,2,22.66599,134.26875,11.09492,116.16953,2.70299,23.50237,100.98822,129.4768,Caryophyllales,Achatocarpaceae,NA
Acoraceae,2,22.25656,240.12653,30.32946,222.13899,6.50841,59.83907,213.70164,227.85079,Acorales,Acoraceae,NA
Actinidiaceae,2,110.22389,175.25052,93.18959,115.19861,83.60454,109.3927,98.80412,130.30437,Ericales,Actinidiaceae,NA
Adoxaceae,2,155.62662,189.08371,52.07344,118.28901,17.934,95.0256,94.64525,146.02627,Dipsacales,Adoxaceae,NA
Aextoxicaceae,1,NA,127.28857,NA,55.03924,NA,NA,24.01795,102.49362,Berberidopsidales,Aextoxicaceae,NA
Afrothismieae,2,117.02877,212.39296,83.96109,150.14044,47.78579,125.11601,115.32872,173.9483,Dioscoreales,Afrothismieae,NA
Aizoaceae,8,115.20432,122.2326,87.05204,97.38768,72.19545,102.20152,87.91454,109.99175,Caryophyllales,Aizoaceae,NA
Akaniaceae,2,66.11892,153.18248,70.80213,106.80332,61.60181,89.70583,81.50847,130.98761,Brassicales,Akaniaceae,NA
