,No_tips,Crown_treePL,Stem_treePL,Crown_BEAST,Stem_BEAST,Crown_minHPD,Crown_maxHPD,Stem_minHPD,Stem_maxHPD,Order,Family,Subfamily
Acorales,2,22.50369,238.76975,24.32711,213.8432,6.27018,46.10049,204.29009,222.75959,Acorales,NA,NA
Alismatales,38,222.11609,235.23547,188.08172,206.29766,168.7154,205.11806,194.99316,215.42182,Alismatales,NA,NA
Amborellales,1,NA,247,NA,245.56796,NA,NA,242.58069,247.09986,Amborellales,NA,NA
Apiales,23,195.87227,207.44214,102.55279,113.65251,84.72755,119.31789,92.54254,127.21474,Apiales,NA,NA
Aquifoliales,10,204.76029,225.09183,123.29823,147.59644,93.7671,147.46066,133.16554,160.67778,Aquifoliales,NA,NA
Arecales,12,205.18942,217.70708,154.12025,177.73703,121.9295,181.28059,165.03037,189.74562,Arecales,NA,NA
Asparagales,56,220.16395,226.03119,171.65904,184.96609,151.94856,189.67549,172.03161,197.46463,Asparagales,NA,NA
Asterales,49,195.95673,215.99627,120.49717,133.10944,106.28006,134.03284,121.55974,147.14297,Asterales,NA,NA
Austrobaileyales,4,195.63751,245.21772,166.59633,236.61872,130.22809,219.92681,230.93316,242.26435,Austrobaileyales,NA,NA
Berberidopsidales,3,121.63223,236.98435,36.24843,189.31129,13.47713,64.19922,178.7344,198.49368,Berberidopsidales,NA,NA
Boraginales,18,154.39796,213.55009,88.4244,133.73875,68.21383,109.33233,124.44671,144.34596,Boraginales,NA,NA
Brassicales,34,188.11524,215.29946,121.20014,139.64293,106.72247,137.16776,126.67975,152.42486,Brassicales,NA,NA
Bruniales,4,NA,NA,NA,NA,NA,NA,NA,NA,Bruniales,NA,NA
Buxales,2,182.61498,240.8599,125.09369,211.12885,57.83677,203.95355,201.33047,220.16716,Buxales,NA,NA
Canellales,4,188.66802,236.66047,152.71417,194.40895,125.02048,185.37261,167.64494,221.10669,Canellales,NA,NA
Caryophyllales,103,198.71978,236.06827,164.51158,184.42505,147.30156,184.56399,174.61157,194.55285,Caryophyllales,NA,NA
Celastrales,6,182.3133,230.38223,128.29429,162.56391,99.85751,152.40642,148.89882,174.32485,Celastrales,NA,NA
Ceratophyllales,2,17.1091,243.69685,26.95001,227.37934,7.4693,67.13974,218.69244,235.04072,Ceratophyllales,NA,NA
Chloranthales,2,162.03845,242.72937,147.82375,222.7829,123.00086,188.32272,213.59371,231.4323,Chloranthales,NA,NA
Commelinales,11,182.57932,192.97326,132.45444,147.08892,110.21209,155.68302,124.55377,166.18772,Commelinales,NA,NA
Cornales,13,202.00378,231.83919,95.77615,171.98936,72.08864,120.83097,160.98862,181.70691,Cornales,NA,NA
Crossosomatales,12,208.87354,229.90158,126.92794,167.96488,94.21665,160.84369,153.14509,182.34291,Crossosomatales,NA,NA
Cucurbitales,19,211.58275,228.82338,126.8655,157.01044,107.51861,142.54611,145.81117,168.46379,Cucurbitales,NA,NA
Cycadales,1,NA,286.84113,NA,175.68134,NA,NA,124.53336,228.28645,Cycadales,NA,NA
Dilleniales,4,79.81146,238.51198,80.28042,199.33162,44.50799,111.8408,190.58138,207.73032,Dilleniales,NA,NA
Dioscoreales,13,223.50434,226.59089,168.51041,182.01172,147.22068,188.25409,162.46288,197.57991,Dioscoreales,NA,NA
Dipsacales,10,190.42219,201.27667,89.58597,104.25051,68.53552,110.20675,81.93513,121.03913,Dipsacales,NA,NA
Ericales,65,217.01117,230.23123,145.84658,167.09845,131.65911,161.61224,155.80418,176.74242,Ericales,NA,NA
Escalloniales,2,192.95005,210.2031,86.96334,118.8781,53.83643,117.32444,104.96284,138.30996,Escalloniales,NA,NA
Fabales,17,175.46375,231.48212,126.8676,167.13619,94.36752,154.94806,157.15025,177.05455,Fabales,NA,NA
Fagales,13,196.29075,228.82338,135.06753,157.01044,115.18787,152.89694,145.81117,168.46379,Fagales,NA,NA
Garryales,3,171.90807,218.7764,92.56275,137.8042,48.52771,127.64252,117.2334,155.51437,Garryales,NA,NA
Gentianales,27,182.95527,213.04888,112.94833,132.17292,96.59285,126.48989,121.5626,142.51188,Gentianales,NA,NA
Geraniales,4,219.59699,233.26198,152.46542,177.16638,124.0545,179.39989,163.71051,189.39335,Geraniales,NA,NA
Ginkgoales,1,NA,258.18204,NA,137.86781,NA,NA,92.06849,186.19619,Ginkgoales,NA,NA
Gnetales,2,204.20506,353.42361,124.73128,285.23389,57.01107,211.03463,212.57239,367.81141,Gnetales,NA,NA
Gunnerales,4,205.38664,238.76047,138.02468,202.31795,76.87841,188.35505,193.54824,210.69079,Gunnerales,NA,NA
Huerteales,6,191.67593,218.84848,103.69005,146.73807,57.33424,141.71478,132.29608,161.07885,Huerteales,NA,NA
Icacinales,4,NA,NA,NA,NA,NA,NA,NA,NA,Icacinales,NA,NA
Lamiales,97,203.04951,213.55009,123.0726,133.73875,110.55855,133.79454,124.44671,144.34596,Lamiales,NA,NA
Laurales,23,199.71925,233.59354,148.97256,188.88205,122.2977,172.02874,161.36979,215.60249,Laurales,NA,NA
Liliales,19,221.19344,227.37309,157.34624,188.15235,119.15412,193.70867,175.78532,200.84549,Liliales,NA,NA
Magnoliales,16,210.81664,233.59354,157.25008,188.88205,124.46417,191.31162,161.36979,215.60249,Magnoliales,NA,NA
Malpighiales,89,222.24681,230.38223,148.80096,162.56391,131.83223,161.81392,148.89882,174.32485,Malpighiales,NA,NA
Malvales,35,199.75458,215.29946,124.73542,139.64293,110.48315,138.33485,126.67975,152.42486,Malvales,NA,NA
Metteniusales,2,NA,NA,NA,NA,NA,NA,NA,NA,Metteniusales,NA,NA
Myrtales,21,178.26873,232.50055,138.19377,174.1843,111.62446,158.01786,160.30942,187.82201,Myrtales,NA,NA
Nymphaeales,7,203.67917,246.15106,173.77666,241.40229,135.01049,211.63392,236.00798,245.61687,Nymphaeales,NA,NA
Oxalidales,13,226.0045,231.62666,158.19502,168.1473,137.97579,174.01969,155.76185,181.00271,Oxalidales,NA,NA
Pandanales,10,205.00915,226.59089,131.57736,182.01172,97.12023,165.30156,162.46288,197.57991,Pandanales,NA,NA
Paracryphiales,2,168.70893,212.133,56.14162,123.47416,16.30203,109.29563,110.59121,140.0859,Paracryphiales,NA,NA
Petrosaviales,2,198.36052,229.67456,104.59209,197.81887,23.98444,183.56483,184.93553,208.46233,Petrosaviales,NA,NA
Pinales,2,191.46565,258.18204,85.45573,137.86781,44.77549,130.80898,92.06849,186.19619,Pinales,NA,NA
Piperales,11,219.18415,236.66047,167.51661,194.40895,138.53828,198.48742,167.64494,221.10669,Piperales,NA,NA
Poales,67,200.52449,215.47929,164.89708,173.6737,154.50113,177.45756,161.23357,185.39867,Poales,NA,NA
Pricramniales,2,64.05657,227.85278,46.09985,163.62228,13.12932,87.36049,148.89087,179.16948,Pricramniales,NA,NA
Proteales,11,NA,NA,NA,NA,NA,NA,NA,NA,Proteales,NA,NA
Ranunculales,22,227.58334,241.78015,184.59637,220.74454,162.52448,209.33428,211.35184,229.53109,Ranunculales,NA,NA
Rosales,27,202.62803,231.14085,146.45301,163.70317,128.90366,160.92139,154.18607,173.68271,Rosales,NA,NA
Santalales,27,233.06219,237.76645,181.03773,193.34529,165.04927,194.20407,184.3405,202.39875,Santalales,NA,NA
Sapindales,22,149.03322,222.37147,102.50956,153.72769,81.53265,126.45515,138.59393,169.02542,Sapindales,NA,NA
Saxifragales,30,222.33243,237.81603,158.30517,193.0364,119.76116,188.61943,184.23706,202.70566,Saxifragales,NA,NA
Solanales,28,206.03032,213.04888,121.84581,132.17292,109.57805,134.3573,121.5626,142.51188,Solanales,NA,NA
Trochodendrales,2,56.69241,240.71847,27.89958,209.52943,8.75505,58.73169,199.69736,218.79255,Trochodendrales,NA,NA
Vahliales,2,48.72989,216.15244,21.91638,141.17164,4.45146,50.91161,132.1787,151.71298,Vahliales,NA,NA
Vitales,2,143.51127,237.40211,76.48856,189.84296,23.50351,138.571,181.12631,199.55642,Vitales,NA,NA
Zingiberales,17,131.17231,192.97326,98.17453,147.08892,71.32737,129.39331,124.55377,166.18772,Zingiberales,NA,NA
Zygophyllales,3,167.09392,234.34293,104.61498,178.83555,54.69327,144.92892,168.81414,187.99876,Zygophyllales,NA,NA
Acanthaceae,8,157.15405,176.22829,69.16352,80.34288,57.72973,80.36275,71.95158,89.68034,Lamiales,Acanthaceae,NA
Achariaceae,2,205.35298,208.86715,82.30301,116.66914,34.9757,120.61622,103.06524,129.37314,Malpighiales,Achariaceae,NA
Achatocarpaceae,2,23.29688,135.35919,9.48209,100.51097,1.68865,18.91936,80.35792,122.09882,Caryophyllales,Achatocarpaceae,NA
Acoraceae,2,22.50369,238.76975,24.32711,213.8432,6.27018,46.10049,204.29009,222.75959,Acorales,Acoraceae,NA
Actinidiaceae,2,112.28792,173.04788,87.62143,98.71617,83.60002,94.43364,89.10919,108.06319,Ericales,Actinidiaceae,NA
Adoxaceae,2,157.94315,190.42219,65.33768,89.58597,38.37914,93.92802,68.53552,110.20675,Dipsacales,Adoxaceae,NA
Aextoxicaceae,1,NA,121.63223,NA,36.24843,NA,NA,13.47713,64.19922,Berberidopsidales,Aextoxicaceae,NA
Afrothismieae,2,116.92777,213.7986,79.18938,143.64894,42.67563,112.81534,118.58089,169.36099,Dioscoreales,Afrothismieae,NA
Aizoaceae,8,118.11912,125.90891,69.124,76.88803,50.6344,84.86967,60.29202,91.52494,Caryophyllales,Aizoaceae,NA
Akaniaceae,2,50.36911,147.07714,16.76334,81.08269,3.77218,35.92824,47.1247,105.79961,Brassicales,Akaniaceae,NA
Alismataceae,2,70.4739,156.00381,53.6504,124.46271,22.58064,86.17747,88.73124,162.19389,Alismatales,Alismataceae,NA
Alseuosmiaceae,2,57.22711,179.57269,25.9985,94.54212,4.69093,54.23878,73.5972,111.66615,Asterales,Alseuosmiaceae,NA
Alstroemeriaceae,2,109.78584,142.41757,58.42901,91.67806,23.29299,86.98739,60.78872,124.55528,Liliales,Alstroemeriaceae,NA
Altingiaceae,2,38.95694,197.94237,13.65129,107.47062,3.2048,28.49866,88.51428,130.8314,Saxifragales,Altingiaceae,NA
Alzateaceae,1,NA,61.49169,NA,44.52898,NA,NA,21.62028,69.78768,Myrtales,Alzateaceae,NA
Amaranthaceae,18,110.56088,135.35919,83.42317,100.51097,66.05323,100.02067,80.35792,122.09882,Caryophyllales,Amaranthaceae,NA
Amaryllidaceae,3,111.82555,128.04027,57.81023,73.71035,41.44611,72.21365,60.1268,87.05963,Asparagales,Amaryllidaceae,NA
Amborellaceae,1,NA,247,NA,245.56796,NA,NA,242.58069,247.09986,Amborellales,Amborellaceae,NA
Anacampserotaceae,2,64.14691,76.24476,27.95065,38.68278,13.64564,44.92665,25.12662,56.44031,Caryophyllales,Anacampserotaceae,NA
Anacardiaceae,2,96.86236,117.77508,44.0041,63.04527,24.43397,61.11606,43.72652,82.96055,Sapindales,Anacardiaceae,NA
Ancistrocladaceae,2,57.48382,105.69796,21.42356,44.42776,3.5087,44.12347,19.40922,67.50143,Caryophyllales,Ancistrocladaceae,NA
Anisophylleaceae,2,149.26399,203.49697,62.12713,112.73533,31.15434,97.88388,89.57275,134.5201,Cucurbitales,Anisophylleaceae,NA
Annonaceae,7,116.23121,166.43005,81.11281,110.20121,57.42334,104.42096,90.52131,138.37924,Magnoliales,Annonaceae,NA
Aphanopetalaceae,2,19.34356,143.21985,14.53141,74.97142,2.59844,33.42471,49.32624,106.06798,Saxifragales,Aphanopetalaceae,NA
Aphloiaceae,2,24.30575,191.41019,20.29184,105.39026,4.12593,40.53905,66.52513,142.54067,Crossosomatales,Aphloiaceae,NA
Apiaceae,11,130.8335,134.82366,64.84636,68.80315,49.81987,84.18093,53.17929,86.8797,Apiales,Apiaceae,NA
Apocynaceae,8,138.31218,170.19718,78.16127,96.53482,55.36837,102.18047,78.79327,114.35536,Gentianales,Apocynaceae,NA
Apodanthaceae,2,109.67663,203.49697,63.95132,112.73533,43.27172,87.428,89.57275,134.5201,Cucurbitales,Apodanthaceae,NA
