"","genus","richness","family","mico"
"1","Acanthopale",9,"Acanthaceae","NM-AM"
"2","Acanthopsis",8,"Acanthaceae","NM-AM"
"3","Acanthura",1,"Acanthaceae",NA
"4","Acanthus",29,"Acanthaceae","NM-AM"
"5","Achyrocalyx",4,"Acanthaceae","NM-AM"
"6","Adhatoda",1,"Acanthaceae",NA
"7","Afrofittonia",1,"Acanthaceae","NM-AM"
"8","Ambongia",1,"Acanthaceae","NM-AM"
"9","Ancistranthus",1,"Acanthaceae","NM-AM"
"10","Ancistrostylis",1,"Acanthaceae","NM-AM"
"11","Andrographis",32,"Acanthaceae","AM"
"12","Angkalanthus",1,"Acanthaceae","NM-AM"
"13","Anisacanthus",17,"Acanthaceae","NM-AM"
"14","Anisosepalum",3,"Acanthaceae","NM-AM"
"15","Anisostachya",2,"Acanthaceae",NA
"16","Anisotes",18,"Acanthaceae","NM-AM"
"17","Anomacanthus",1,"Acanthaceae","NM-AM"
"18","Apassalus",4,"Acanthaceae",NA
"19","Aphanosperma",1,"Acanthaceae","NM-AM"
"20","Aphelandra",196,"Acanthaceae","NM-AM"
"21","Aphelandrella",1,"Acanthaceae",NA
"22","Ascotheca",1,"Acanthaceae","NM-AM"
"23","Asystasia",54,"Acanthaceae","AM"
"24","Asystasiella",4,"Acanthaceae",NA
"25","Avicennia",8,"Acanthaceae","NM-AM"
"26","Ballochia",3,"Acanthaceae","NM-AM"
"27","Barleria",253,"Acanthaceae","AM"
"28","Barleriola",4,"Acanthaceae","NM-AM"
"29","Beloperone",1,"Acanthaceae",NA
"30","Benoicanthus",2,"Acanthaceae","NM-AM"
"31","Blechum",13,"Acanthaceae","NM-AM"
"32","Blepharis",126,"Acanthaceae","AM"
"33","Borneacanthus",6,"Acanthaceae","NM-AM"
"34","Boutonia",1,"Acanthaceae","NM-AM"
"35","Brachystephanus",22,"Acanthaceae","NM-AM"
"36","Bravaisia",3,"Acanthaceae","AM"
"37","Brillantaisia",16,"Acanthaceae","NM-AM"
"38","Brunoniella",6,"Acanthaceae","NM-AM"
"39","Calacanthus",1,"Acanthaceae","NM-AM"
"40","Calycacanthus",1,"Acanthaceae","NM-AM"
"41","Camarotea",2,"Acanthaceae","NM-AM"
"42","Carlowrightia",26,"Acanthaceae","AM"
"43","Celerina",1,"Acanthaceae","NM-AM"
"44","Centrilla",1,"Acanthaceae",NA
"45","Cephalacanthus",1,"Acanthaceae","NM-AM"
"46","Chaetacanthus",3,"Acanthaceae",NA
"47","Chalarothyrsus",1,"Acanthaceae","NM-AM"
"48","Chamaeranthemum",4,"Acanthaceae","NM-AM"
"49","Chileranthemum",3,"Acanthaceae","NM-AM"
"50","Chlamydacanthus",4,"Acanthaceae","NM-AM"
"51","Chlamydocardia",3,"Acanthaceae","NM-AM"
"52","Chlamydostachya",1,"Acanthaceae",NA
"53","Chorisochora",3,"Acanthaceae","NM-AM"
"54","Chroesthes",3,"Acanthaceae","NM-AM"
"55","Clarkeasia",1,"Acanthaceae",NA
"56","Clinacanthus",2,"Acanthaceae","NM-AM"
"57","Clistax",2,"Acanthaceae","NM-AM"
"58","Codonacanthus",3,"Acanthaceae","NM-AM"
"59","Conocalyx",1,"Acanthaceae","NM-AM"
"60","Cosmianthemum",14,"Acanthaceae","NM-AM"
"61","Crabbea",14,"Acanthaceae","NM-AM"
"62","Crossandra",54,"Acanthaceae","NM-AM"
"63","Crossandrella",3,"Acanthaceae","NM-AM"
"64","Cuenotia",1,"Acanthaceae","NM-AM"
"65","Cyclacanthus",2,"Acanthaceae","NM-AM"
"66","Cynarospermum",1,"Acanthaceae","NM-AM"
"67","Cyphacanthus",1,"Acanthaceae","NM-AM"
"68","Cystacanthus",3,"Acanthaceae","AM"
"69","Danguya",1,"Acanthaceae","NM-AM"
"70","Dasytropis",1,"Acanthaceae","NM-AM"
"71","Dianthera",3,"Acanthaceae",NA
"72","Dichazothece",1,"Acanthaceae","NM-AM"
