genus	species	mycorrhiza.type	number.of.plants.studied	family
Aa	Aa_achalensis	OM	3	Orchidaceae
Abarema	Abarema_jupunba	AM; others not addressed	NA	Fabaceae
Abelmoschus	Abelmoschus_esculentus	AM; others not addressed	NA	Malvaceae
Abelmoschus	Abelmoschus_esculentus	AM; others not addressed	NA	Malvaceae
Abelmoschus	Abelmoschus_manihot	AM; others not addressed	NA	Malvaceae
Abies	Abies	EcM; others not addressed	NA	Pinaceae
Abies	Abies	EcM; others not addressed	NA	Pinaceae
Abies	Abies	EcM; others not addressed	NA	Pinaceae
Abies	Abies_alba	EcM; others not addressed	NA	Pinaceae
Abies	Abies_alba	EcM; others not addressed	NA	Pinaceae
Abies	Abies_alba	EcM; no others	NA	Pinaceae
Abies	Abies_alba	EcM; others not addressed	NA	Pinaceae
Abies	Abies_alba	EcM; no others	NA	Pinaceae
Abies	Abies_amabilis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_amabilis	EcM; no others	NA	Pinaceae
Abies	Abies_balsamea	EcM; others not addressed	NA	Pinaceae
Abies	Abies_balsamea	EcM; others not addressed	NA	Pinaceae
Abies	Abies_balsamea	EcM; others not addressed	NA	Pinaceae
Abies	Abies_balsamea	EcM; no others	6	Pinaceae
Abies	Abies_balsamea	EcM; no others	NA	Pinaceae
Abies	Abies_balsamea	EcM; no others	NA	Pinaceae
Abies	Abies_balsamea	EcM; no others	NA	Pinaceae
Abies	Abies_balsamea_var._phanerolepis	EcM; others not addressed	4	Pinaceae
Abies	Abies_cephalonica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_cilicica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_cilicica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_concolor	EcM; others not addressed	NA	Pinaceae
Abies	Abies_concolor	EcM; others not addressed	NA	Pinaceae
Abies	Abies_concolor	EcM; others not addressed	NA	Pinaceae
Abies	Abies_concolor	EcM; no others	NA	Pinaceae
Abies	Abies_concolor	EcM; no others	NA	Pinaceae
Abies	Abies_fargesii	EcM; others not addressed	NA	Pinaceae
Abies	Abies_fargesii	EcM; others not addressed	NA	Pinaceae
Abies	Abies_fargesii_var._faxoniana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_firma	EcM; others not addressed	NA	Pinaceae
Abies	Abies_firma	EcM; others not addressed	NA	Pinaceae
Abies	Abies_firma	EcM; others not addressed	NA	Pinaceae
Abies	Abies_firma	EcM; others not addressed	NA	Pinaceae
Abies	Abies_fraseri	EcM; others not addressed	NA	Pinaceae
Abies	Abies_grandis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_grandis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_grandis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_grandis	EcM; no others	NA	Pinaceae
Abies	Abies_holophylla	EcM; others not addressed	NA	Pinaceae
Abies	Abies_holophylla	EcM; others not addressed	NA	Pinaceae
Abies	Abies_holophylla	EcM; others not addressed	NA	Pinaceae
Abies	Abies_homolepis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_kawakamii	EcM; no others	NA	Pinaceae
Abies	Abies_koreana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_lasiocarpa	EcM; others not addressed	NA	Pinaceae
Abies	Abies_lasiocarpa	EcM; others not addressed	NA	Pinaceae
Abies	Abies_lasiocarpa	EcM; others not addressed	NA	Pinaceae
Abies	Abies_lasiocarpa	EcM; others not addressed	NA	Pinaceae
Abies	Abies_lasiocarpa	EcM; no others	NA	Pinaceae
Abies	Abies_lasiocarpa	EcM; others not addressed	NA	Pinaceae
Abies	Abies_lasiocarpa	EcM; no others	NA	Pinaceae
Abies	Abies_lasiocarpa_var._arizonica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_magnifica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_magnifica	EcM; no others	NA	Pinaceae
Abies	Abies_magnifica_var._shastensis	EcM; no others	NA	Pinaceae
Abies	Abies_nephrolepis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nephrolepis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nephrolepis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nordmanniana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nordmanniana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nordmanniana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nordmanniana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nordmanniana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nordmanniana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_nordmanniana	EcM; no others	NA	Pinaceae
Abies	Abies_numidica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_pindrow	EcM; others not addressed	NA	Pinaceae
Abies	Abies_pindrow	EcM; others not addressed	NA	Pinaceae
Abies	Abies_pindrow	EcM; no others	NA	Pinaceae
Abies	Abies_pindrow_var._brevifolia	EcM; others not addressed	NA	Pinaceae
Abies	Abies_pinsapo	EcM; others not addressed	NA	Pinaceae
Abies	Abies_procera	EcM; others not addressed	NA	Pinaceae
Abies	Abies_procera	EcM; no others	NA	Pinaceae
Abies	Abies_sachalinensis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sachalinensis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sachalinensis	EcM; others not addressed	1	Pinaceae
Abies	Abies_sachalinensis	EcM; others not addressed	1	Pinaceae
Abies	Abies_sachalinensis	EcM; others not addressed	1	Pinaceae
Abies	Abies_sachalinensis	EcM; others not addressed	1	Pinaceae
Abies	Abies_sachalinensis_var._mayriana	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sachalinensis_var._nemorensis	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_sibirica	EcM; others not addressed	NA	Pinaceae
Abies	Abies_veitchii	EcM; others not addressed	NA	Pinaceae
Abies	Abies_veitchii	EcM; others not addressed	NA	Pinaceae
Abronia	Abronia_maritima	AM; others not addressed	NA	Nyctaginaceae
Abronia	Abronia_umbellata	AM; others not addressed	NA	Nyctaginaceae
Abrus	Abrus_precatorius	AM; others not addressed	NA	Fabaceae
Abrus	Abrus_precatorius	AM; others not addressed	NA	Fabaceae
Abrus	Abrus_precatorius	AM; others not addressed	NA	Fabaceae
Abrus	Abrus_precatorius	AM; others not addressed	NA	Fabaceae
