family,AM,EM,ER,NM,OM,AM.perc,EM.perc,ER.perc,NM.perc,OM.perc,type.50,type.60,type.80,type.100,shannon,rich,r.e0,r.e09
Acanthaceae,2091,196,200,1123,188,0.550552922590837,0.0516061084781464,0.0526592943654555,0.295681937862033,0.0494997367035282,AM,MIX,MIX,MIX,1.14564407483527,3947,0.197083900829015,0.142335755854878
Achariaceae,80,6,5,7,2,0.8,0.06,0.05,0.07,0.02,AM,AM,MIX,MIX,0.761494760428527,101,0.0527094402237022,0.0273864392236436
Achatocarpaceae,9,0,1,0,1,0.818181818181818,0,0.0909090909090909,0,0.0909090909090909,AM,AM,AM,MIX,0.600166073159646,11,0.0460159733984273,0.0133015993582649
Acoraceae,2,0,0,0,0,1,0,0,0,0,AM,AM,AM,AM,0,2,0.00404717343918599,0.000556500609115217
Actinidiaceae,136,8,10,9,13,0.772727272727273,0.0454545454545455,0.0568181818181818,0.0511363636363636,0.0738636363636364,AM,AM,MIX,MIX,0.847178253182992,176,0.0736699777253691,0.0415729175540745
Adoxaceae,159,7,4,11,10,0.832460732984293,0.0366492146596859,0.0209424083769634,0.0575916230366492,0.0523560209424084,AM,AM,AM,MIX,0.673608425053928,194,0.0576630108858209,0.0329548480014729
Aextoxicaceae,1,0,0,0,0,1,0,0,0,0,AM,AM,AM,AM,0,1,0,0
Aizoaceae,658,109,106,998,119,0.330653266331658,0.0547738693467337,0.0532663316582915,0.501507537688442,0.0597989949748744,NM,MIX,MIX,MIX,1.19577143862807,2270,0.17409638496386,0.122309773866363
Akaniaceae,2,0,0,0,0,1,0,0,0,0,AM,AM,AM,AM,0,2,0.0125395782205291,0.00172423619166069
Alismataceae,32,7,4,67,10,0.266666666666667,0.0583333333333333,0.0333333333333333,0.558333333333333,0.0833333333333333,NM,MIX,MIX,MIX,1.1640721277271,120,0.0754068732374181,0.0402784017326588
Alseuosmiaceae,4,0,0,1,1,0.666666666666667,0,0,0.166666666666667,0.166666666666667,AM,AM,MIX,MIX,0.867563228481461,6,0.0235287701495495,0.00532442858329049
Alstroemeriaceae,211,11,9,13,15,0.814671814671815,0.0424710424710425,0.0347490347490347,0.0501930501930502,0.0579150579150579,AM,AM,AM,MIX,0.733048022997641,259,0.0560119970150693,0.0331465999420551
Altingiaceae,12,2,2,0,0,0.75,0.125,0.125,0,0,AM,AM,MIX,MIX,0.735621939758795,19,0.0306377140477204,0.0107134790378665
Amaranthaceae,889,92,119,824,101,0.439012345679012,0.0454320987654321,0.0587654320987654,0.406913580246914,0.0498765432098765,MIX,MIX,MIX,MIX,1.18383343584335,2052,0.146355037150707,0.102252063826835
Amaryllidaceae,1805,103,124,130,90,0.801509769094139,0.0457371225577265,0.0550621669626998,0.0577264653641208,0.0399644760213144,AM,AM,AM,MIX,0.771388156423867,2258,0.108430525192735,0.0761549996798361
Amborellaceae,1,0,0,0,0,1,0,0,0,0,AM,AM,AM,AM,0,1,0,0
Anacardiaceae,526,32,32,27,51,0.787425149700599,0.0479041916167665,0.0479041916167665,0.0404191616766467,0.0763473053892216,AM,AM,MIX,MIX,0.805386619150006,701,0.109523626320221,0.0712496903513205
Anarthriaceae,6,1,1,2,1,0.545454545454545,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,AM,MIX,MIX,MIX,1.2945451658449,11,0.0436206699623183,0.0126092013865275
Ancistrocladaceae,18,1,1,0,1,0.857142857142857,0.0476190476190476,0.0476190476190476,0,0.0476190476190476,AM,AM,AM,MIX,0.567060930955282,21,0.0618236733949448,0.0223089987712747
Anisophylleaceae,67,2,0,4,3,0.881578947368421,0.0263157894736842,0,0.0526315789473684,0.0394736842105263,AM,AM,AM,MIX,0.489394995933719,78,0.114329906960139,0.0567704958232034
Annonaceae,1514,99,102,107,88,0.792670157068063,0.0518324607329843,0.0534031413612565,0.056020942408377,0.0460732984293194,AM,AM,MIX,MIX,0.79729662881456,2106,0.0801355456276445,0.0560681058169329
Aphloiaceae,0,0,1,0,1,0,0,0.5,0,0.5,MIX,MIX,MIX,MIX,0.693147180559945,2,0.00733876403615078,0.00100910591494003
Apiaceae,2475,160,144,195,153,0.791493444195715,0.0511672529581068,0.0460505276622961,0.0623600895426927,0.0489286856411896,AM,AM,MIX,MIX,0.799600340156518,3257,0.110213896242271,0.0788767130838199
Apocynaceae,4036,286,256,376,274,0.771996939556236,0.0547054322876817,0.0489671002295333,0.071920428462127,0.0524100994644223,AM,AM,MIX,MIX,0.850298312239671,5556,0.184420900805599,0.135207825619767
Apodanthaceae,0,1,0,22,1,0,0.0416666666666667,0,0.916666666666667,0.0416666666666667,NM,NM,NM,MIX,0.344598248102823,26,NA,NA
Aponogetonaceae,22,2,1,29,3,0.385964912280702,0.0350877192982456,0.0175438596491228,0.508771929824561,0.0526315789473684,NM,MIX,MIX,MIX,1.05468908764832,58,0.0434526672783309,0.0203553270560524
Aquifoliaceae,392,20,24,19,20,0.825263157894737,0.0421052631578947,0.0505263157894737,0.04,0.0421052631578947,AM,AM,AM,MIX,0.704827299460885,480,0.0893842053723207,0.0563162791532267
Araceae,1639,157,180,1237,144,0.488233541852845,0.0467679475722371,0.0536193029490617,0.368483765266607,0.0428954423592493,MIX,MIX,MIX,MIX,1.15311220879132,3368,0.0576041234313727,0.0412924443173976
Araliaceae,1201,75,86,79,86,0.786509495743288,0.0491159135559921,0.0563195808775377,0.0517354289456451,0.0563195808775377,AM,AM,MIX,MIX,0.814145819210917,1533,0.0957834490945466,0.0657917108097032
Araucariaceae,31,3,0,2,2,0.815789473684211,0.0789473684210526,0,0.0526315789473684,0.0526315789473684,AM,AM,AM,MIX,0.676480135324185,39,0.0185462228623025,0.00794087917961459
Arecaceae,1744,115,105,150,113,0.783116299955097,0.0516389762011675,0.0471486304445442,0.0673551863493489,0.0507409070498428,AM,AM,MIX,MIX,0.821464736700092,2522,0.0677509095372251,0.0478652058816421
Argophyllaceae,19,0,1,2,0,0.863636363636364,0,0.0454545454545455,0.0909090909090909,0,AM,AM,AM,MIX,0.48510450039094,22,0.0445050399625339,0.0162900047299252
Aristolochiaceae,421,28,44,77,41,0.689034369885434,0.0458265139116203,0.072013093289689,0.126022913256956,0.0671031096563011,AM,AM,MIX,MIX,1.02968948719909,624,0.0526871562991945,0.033955123814709
