family,rich,AM,EM,NM,OM,ER,UNK,AM.perc,EM.perc,NM.perc,OM.perc,ER.perc,UNK.perc,type.50,type.60,type.80,type.100,stem.age,r.e0,r.e05,r.e09,shannon
Acanthaceae,3947,2425,0,1373,0,0,149,0.614390676463137,0,0.347859133519128,0,0,0.037750190017735,AM,AM,MIX,MIX,42.016172,0.197083900829015,0.180592777942584,0.142335755854878,0.654279805986366
Achariaceae,101,100,0,0,0,0,1,0.99009900990099,0,0,0,0,0.0099009900990099,AM,AM,AM,MIX,87.55776,0.0527094402237022,0.0449055073213879,0.0273864392236436,0
Achatocarpaceae,11,7,4,0,0,0,0,0.636363636363636,0.363636363636364,0,0,0,0,AM,AM,MIX,MIX,52.110063,0.0460159733984273,0.0343841355407314,0.0133015993582649,0.655481773901393
Acoraceae,2,0,0,2,0,0,0,0,0,1,0,0,0,NM,NM,NM,NM,171.266982,0.00404717343918599,0.00236744469583848,0.000556500609115217,0
Actinidiaceae,176,176,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,70.184411,0.0736699777253691,0.0638746195649328,0.0415729175540745,0
Adoxaceae,194,189,0,2,0,0,3,0.974226804123711,0,0.0103092783505155,0,0,0.0154639175257732,AM,AM,AM,MIX,91.355933,0.0576630108858209,0.0501319643684642,0.0329548480014729,0.0581557306257278
Aextoxicaceae,1,1,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,97.433843,0,0,0,0
Aizoaceae,2270,730,0,1260,0,0,280,0.3215859030837,0,0.555066079295154,0,0,0.123348017621145,NM,MIX,MIX,MIX,44.386534,0.17409638496386,0.158490148420816,0.122309773866363,0.657249249449524
Akaniaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,55.276754,0.0125395782205291,0.00733518303386925,0.00172423619166069,0
Alismataceae,120,51,0,69,0,0,0,0.425,0,0.575,0,0,0,NM,MIX,MIX,MIX,63.488798,0.0754068732374181,0.0646199565006223,0.0402784017326588,0.681854608730783
Alseuosmiaceae,6,6,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,76.151854,0.0235287701495495,0.0164508531662981,0.00532442858329049,0
Alstroemeriaceae,259,259,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,99.207819,0.0560119970150693,0.0490640203516175,0.0331465999420551,0
Altingiaceae,19,16,0,0,0,0,3,0.842105263157895,0,0,0,0,0.157894736842105,AM,AM,AM,MIX,96.105048,0.0306377140477204,0.0239590442012374,0.0107134790378665,0
Amaranthaceae,2052,833,0,1192,0,0,27,0.405945419103314,0,0.580896686159844,0,0,0.0131578947368421,NM,MIX,MIX,MIX,52.110063,0.146355037150707,0.133062787440096,0.102252063826835,0.677349010012575
Amaryllidaceae,2258,2231,0,21,0,0,6,0.988042515500443,0,0.00930026572187777,0,0,0.00265721877767936,AM,AM,AM,MIX,71.218273,0.108430525192735,0.0987040269273036,0.0761549996798361,0.0528764937128795
Amborellaceae,1,1,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,234.540723,0,0,0,0
Anacampserotaceae,58,0,0,0,0,0,58,0,0,0,0,0,1,UNK,UNK,UNK,UNK,27.526226,0.147511795134808,0.122951481374373,0.0691016460591772,0
Anacardiaceae,701,668,0,0,0,0,33,0.952924393723253,0,0,0,0,0.0470756062767475,AM,AM,AM,MIX,59.827346,0.109523626320221,0.0979616616031382,0.0712496903513205,0
Anarthriaceae,11,8,0,3,0,0,0,0.727272727272727,0,0.272727272727273,0,0,0,AM,AM,MIX,MIX,54.971537,0.0436206699623183,0.0325943127482147,0.0126092013865275,0.585952618303551
Ancistrocladaceae,21,21,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,49.245253,0.0618236733949448,0.0486929221949245,0.0223089987712747,0
Anisophylleaceae,78,76,0,0,0,0,2,0.974358974358974,0,0,0,0,0.0256410256410256,AM,AM,AM,MIX,38.106467,0.114329906960139,0.0964744559475187,0.0567704958232034,0
Annonaceae,2106,1910,0,0,0,0,196,0.90693257359924,0,0,0,0,0.0930674264007597,AM,AM,AM,MIX,95.495022,0.0801355456276445,0.0728820527759473,0.0560681058169329,0
Aphanopetalaceae,2,0,0,0,0,0,2,0,0,0,0,0,1,UNK,UNK,UNK,UNK,64.220395,0.0107932562632158,0.00631365017465502,0.00148411076892823,0
Aphloiaceae,2,2,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,94.450125,0.00733876403615078,0.00429290176278924,0.00100910591494003,0
Apiaceae,3257,3106,1,20,0,0,130,0.953638317470064,0.000307031010132023,0.00614062020264047,0,0,0.039914031317163,AM,AM,AM,MIX,73.389673,0.110213896242271,0.100773328266527,0.0788767130838199,0.0415795004095228
Apocynaceae,5556,5057,0,171,0,0,328,0.910187185025198,0,0.0307775377969762,0,0,0.0590352771778258,AM,AM,AM,MIX,46.755187,0.184420900805599,0.16959971719758,0.135207825619767,0.144034627627925
Apodanthaceae,26,0,0,24,0,0,2,0,0,0.923076923076923,0,0,0.0769230769230769,NM,NM,NM,MIX,NA,NA,NA,NA,0
Aponogetonaceae,58,2,0,55,0,0,1,0.0344827586206897,0,0.948275862068966,0,0,0.0172413793103448,NM,NM,NM,MIX,93.445196,0.0434526672783309,0.0362179160429582,0.0203553270560524,0.152005310836203
Aquifoliaceae,480,475,0,0,0,0,5,0.989583333333333,0,0,0,0,0.0104166666666667,AM,AM,AM,MIX,69.070213,0.0893842053723207,0.0793789370469411,0.0563162791532267,0
Araceae,3368,1492,0,1865,0,0,11,0.442992874109264,0,0.55374109263658,0,0,0.00326603325415677,NM,MIX,MIX,MIX,140.998142,0.0576041234313727,0.0526902266757998,0.0412924443173976,0.686961576597323
Araliaceae,1533,1518,0,9,0,0,6,0.990215264187867,0,0.00587084148727984,0,0,0.00391389432485323,AM,AM,AM,MIX,76.578803,0.0957834490945466,0.0867405410001937,0.0657917108097032,0.036134870135077
Araucariaceae,39,38,0,0,0,0,1,0.974358974358974,0,0,0,0,0.0256410256410256,AM,AM,AM,MIX,197.536807,0.0185462228623025,0.0151654383760187,0.00794087917961459,0
Arecaceae,2522,2154,0,73,0,0,295,0.854084060269627,0,0.0289452815226011,0,0,0.116970658207772,AM,AM,AM,MIX,115.611843,0.0677509095372251,0.0617588698770342,0.0478652058816421,0.144275121354891
Argophyllaceae,22,22,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,69.453762,0.0445050399625339,0.0351650791121898,0.0162900047299252,0
Aristolochiaceae,624,173,0,438,0,0,13,0.27724358974359,0,0.701923076923077,0,0,0.0208333333333333,NM,NM,MIX,MIX,122.157862,0.0526871562991945,0.0470260724534984,0.033955123814709,0.595896748708422
Asparagaceae,2879,2674,0,139,0,0,66,0.928794720389024,0,0.0482806530045155,0,0,0.0229246266064606,AM,AM,AM,MIX,71.218273,0.111842058998148,0.102114219935803,0.0795545043196803,0.19678451105187
Asteliaceae,37,32,0,0,0,0,5,0.864864864864865,0,0,0,0,0.135135135135135,AM,AM,AM,MIX,54.934989,0.0657307478962856,0.0535986086966622,0.0277793138994721,0
Asteropeiaceae,8,0,8,0,0,0,0,0,1,0,0,0,0,EM,EM,EM,EM,33.824843,0.0614767536889923,0.0444666482790851,0.0156875303475073,0
Atherospermataceae,20,20,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,89.030833,0.0336482561446324,0.0264107970006692,0.0119588989692192,0
Austrobaileyaceae,1,1,0,0,0,0,0,1,0,0,0,0,0,AM,AM,AM,AM,179.240932,0,0,0,0
